id,uid,title,score,date,content
,,Singapore History With Dessert,4.0,,"Museum has a very impressive display outlining Singapore's history, focusing largely upon political movements prior to the Japanese invasion, and the invasion itself, which cannot help but raise questions about how the British failed to protect one of its own colonies. Much of what Lee Kuan Yew, who became Singapore's Prime Minister following the Japanese surrender, said did echoes very much Singapore's post incursion and determination to create a nation of independence. What is displayed in this museum provides very clear evidence of this history.
An absolutely delightful added attraction in the museum is a gallery (open only at certain times), which features an emphasis on forest conservation. The display also includes an unquestionably beautiful sensory experience within the ""Glass Rotunda""."
,,Come here pleaseee,5.0,,"Honestly I am not that interested in museum but this one was just a different level, just by the appearance was already something."
,,Worth a visit,4.0,,Good range of material on a historical timeline from founding of a settlement to modern times. Plenty to see from a range of perspectives.
,,Very interesting,5.0,,Based in a stunning Colonial Building built by the British. Numerous levels with different exhibits and zones. We visited the History of Singapore zone which we found to be very interesting and informative. You would need several hours to view all of it.
,,The Building is a Gem!,4.0,,"We approached the museum from the rear - from Fort Canning Park - and the modern annex is huge and airy. The first display was a sinuous curve of very detailed text about the trades unions and their part in independence - I tried, but it was far too much to read. We walked over the Glass Passage connecting the two parts of the museum.

The free exhibits included large rooms on the history of Singapore, including one devoted to the Japanese occupation. It is interesting reading some of the comments here by Japanese tourists. They generally do not know much about it at all. NMS has a mandate to explain the recent history of the country and it does that well.

Some of the exhibits on other aspects are underwhelming. We did not, on that basis, pay for tickets to the other parts of the museum. However, the original Victorian building is a gem! We were only in Singapore for a few days, but it was worth seeing the dome from the inside first and then seeing the façade from the road last. Truly a treasure worth maintaining but it struggles to compete on the world stage of national museums."
,,Always Excellent,5.0,,"This was our hird visit over the years and the Museum just keeps getting better - this time we took two of our granddaughters on their first overseas trip - they were blown away by the exhibits and, in particular, the Story of the Forest and Surviving Syonan exhibitions as well as the amazing tecnological display in the Glass Rotunda."
,,"Free guided tour, very interesting.",5.0,,Insightful display if Singapore history and past. All in conditioned comfort. Can spend a full day inside. May return.
,,not my favorite place,2.0,,"I always enjoy visiting museums but this one was not what I was looking for. Well, thinking of the history of Singapore, probably this museum has interesting items. But most of them were pretty modern collections. You may be able to find similar items in your garage. This place may be interesting for people who want to learn about Singapore, but not exciting for people who want to enjoy art or old things."
,,Know more about Singapore's roots,5.0,,"If it's your first time in Singapore, I would recommend for you to stop by the National Museum first. By joining the guided tour, you would learn so much about Singapore's roots. We purchased our tickets via Klook. Check the museum's website to know the visiting hours."
,,Free guided tour was excellent!,4.0,,We did a free guided tour of the museum with a volunteer guide. Our guide was very knowledgeable and answered all our questions. She took us on a tour of Singapore's history and culture and it was really interesting to see Singapore's development. We did this tour on our first day in Singapore and it opened our eyes for the rest of the trip!
,,perfect choice for the day,5.0,,"take the docent tour at 11am and 2pm. in an hour, we can get to know more about the SG history. And it is a perfect choice to avoid the rain or sun in the middle of day"
,,Interesting,3.0,,"The national museum is very close the Battlebox and I would recommend to combine the two together. The part that I found interesting is the historical one. One get a good understanding of Singapore's history, economical background and culture. The rest of the museum was not anything special."
,,Amazing Collection and Terrific Rotating exhibi!,5.0,,"The NAtional Museum of Singapore is outstanding. Located in part of the old Parliment building, this museum has been retrofitted and expanded into a breathtaking space filled with exceptional Asian art. We thoroughly enjoyed the gorgeous modern art collection as well as the ""Awakenings"" exhibit. You can also visit the old Parliment to learn more about the vibrant history of Singapore."
,,Great museum !,5.0,,"This museum will bring some great historic context to your visit in Singapore. Some exhibits may be skipped, but do not miss the British colonial period as well as the Japanese occupation during WWII !
Note that the layout of the place is not clear, we had to ask our way a couple of time during our visit."
,,Amazing. You'll stay at least 3 hours easy.,5.0,,"You'll spend 3-5 hours here if you take in the exhibits in the museum, especially the video presentations littered throughout the museum that range from documentaries to personal interviews that helps unravel the mystery and emphasizes the allure of Singapore from centuries old up to the present.

A must-go for tourists before leaving Singapore."
,,Worth to visit,4.0,,"We stayed at YMCA@One Orchard which is right next to the museum. With our Singpaore tourist pass, we had SG$2 discount. There were many exhibits and interesting history on Singapore."
,,What an amazing Tour!!!,5.0,,"Visiting the National gallery was fantastic! There was a free guided English tour that my partner and I joined. The hosts name was Chai - this man was passionate about the history of his country and was proud to share his love. Chai made all tour members comfortable and tried to link each visitors home country to the impact it has had on Singapore!
I can’t recommend this attraction enough!"
,,Very interesting and great place to visit,5.0,,"We went here for the afternoon and was amazed at the amount of information we read. The museum had a couple of interactive videos happening when we were there which were interesting but it was the Singapore info that was of more interest to us.

We ate in the cafe inside the museum and was was impressed with the choice available.

Highly recommended."
,,Totally recommended,5.0,,"In our second day in Singapore, it rained and rained and rained, so we decided to make it a museum day.
In this museum we learned so much about Singapore history. There are different installations, all of them so very well made, interactive, and the use of technology is incredibly.
Totally worth it to learn a bit of the country."
,,Interesting,4.0,,Lovely Colonial building with a great art display inside. Will take a fair time to go around the whole building. Fantastic water garden on top of building with a bar and great view
,,Museum,5.0,,"Wonderful place to visit, very interesting way to learn about the history of Singapore in air conditioned comfort."
,,Historic Context for Your Visit to Singapore,4.0,,"Do not let the traditional look of the museum's exterior fool you, the exhibits and the presentation media within make it as contemporary and impressive as the city state that surrounds it. A literal walk through the history of Singapore with a great layout of galleries, interesting artifacts and many multi-media presentations."
,,Outstaning,5.0,,"Ok this place is great. A must do Adults $15.00 and Seniors $10.00. We had a guide at no cost she was great. Can get a bit crowded,but well worth it. Heaps of exhibits very informative. Give it a go."
,,Wonderfully designed building and historical features.,5.0,,"The building itself is a beautiful amalgam of old and new - beautifully done. We arrived just in time for a free guided tour, and we couldn't have been more pleased with the quality of the displays and the knowledge of the guide. Do go to this museum!"
,,Excellent Museum and Cafe,5.0,,"Well worth a visit to help put Singapore into context and understand where it has come from. We attended just as a tour was commencing which we were recommended to join (for free) so we did. The tour was led by a volunteer who was extremely well informed and good. The museum is beautifully laid out and presented - some really interesting exhibits and just enough information. The exhibitions are all good - on the first floor the exhibition dealing with the history of Singapore is probably the main one and definitely worth visiting, taking you from the 12c ? through the main different cultures that make up Singapore, through the 2WW with some very interesting artefacts if not gruesome reminders and then on to independence and the subsequent growth of Singapore into where it is today. Would also recommend the cafe in the museum - good value and very good quality food if a little laid back in service it's worth the wait."
,,Excellent presentation of the history of Singapore,5.0,,"The layout takes you through a well presented history, with little rooms and spaces laid out to show the different periods and the different social and racial mix and their customs, lifestyles and working conditions - e.g. opium dens and the growth of the city and the WW11 period."
,,Excellent interactive Musuem,4.0,,"Though this might not be the first time we have gone to the musuem, my kids still love it coz they always have new themes and exhibits. The current theme is very suitable for kids (just curious).

My girls aged 8 and 10 loved all the 4 themes. They had fun with the gigantic puzzles, weighing the anchor, fixing back the vases and of course the bouncy castle and interactive in the Stories of Forest. I forgot to mentioned they loved drawing and colouring their toy and get to play some of the traditional games.

I have also bought the interactive guidebook which they enjoyed working on it and reading it whenever they saw the artefact in the permanent gallery. We have not finished with the entire book in the musuem and do intent to visit the musuem once again to finish up the remaining activies.

Overall, recommended for all to go."
,,Interesting exhibit on history of Singapore,4.0,,"Wonderful, updated building. Great display on the history of Singapore. Great way to learn about local history for a first time visitor. There was also an interesting exhibit on packaging. Near the university."
,,A Great Learning Place,5.0,,We spent 4 hours here. It was a great place to learn about the history of Singapore. Sir Thomas Raffles established Singapore as a trading hub for the eastern world . The occupation of the Japanese just a couple of great information.
,,So much to see,5.0,,"I arrived just as a guided highlights tour was starting and I joined that. For the next 75 mins, a pleasant Aussie docent led us around the main gallery and gave us a whirlwind history of Singapore of pre-Raffles, through the inter-Raffles colonial years and onward to the World War 2 bit of which I was now well acquainted.

After the war was also covered nicely if briefly showing the 2 year dalliance with, and subsequent divorce of, Malaysian unification, gaining its own national identity and the whole HDB slash green area initiatives by first Prime Minister Lee Kuan Yew that has made Singapore the green concrete jungle (in both senses of that word) that it is today. It was kind of a neat way of tying up my whole experience of Singapore.

After the tour, I wandered around by myself to catch up on some of the reading and watching, but would highly recommend the tour - maybe try to get a quieter tour, ours was so large we couldn't get into some of the rooms."
,,Great Introduction to Singapore's History,4.0,,"If you want a good overview of Singapore's history, this is the place to visit. Very informative displays, highly effective use of media and diverse materials all help the visitor to gain a good understanding of this island's past."
,,What you'd expect...,5.0,,"...from a National Museum. Actually it kind of started out on a bit of a (I'm really struggling for a word here) unexpected note. After purchasing my ticket, I was directed to an escalator that took me to the the top of the building's rotonda where you wind your way back down viewing a digital display of a forest (which I guess is Singapore back in the day). It was certainly colorful, visually pleasing, and the kids running back and forth seemed to love it. I guess for me, when I go to a museum (especially a national one), I'm expecting to see realia as opposed to basically digital animation. Then again, it's a nice wow factor for the kids. That didn't last long as you find yourself on the bottom floor in the main historical gallery of the museum covering the breadth of Singapore's history. Here is where I found the great displays and information panels I wanted. Too much to go into about what is displayed, but my visit to the museum today left me a question in my mind. A big part of the main historical gallery covers both the British colonial period as well as the Japanese occupation during WWII. There is even a separate display about the Japanese occupation; I believe it was on the second floor of the museum. What I found interesting was that these displays on the Japanese occupation really bring to life the horror that occurred during this period. Yet for the most part, the British colonial is sort of viewed through rose-colored glasses. Yes there are disturbing displays about things such as how the colonial British ""encouraged"" opium addiction, but I would think colonial occupation to be just as horrific, maybe even more debilitating, and certainly more insidious then a much shorter period of wartime occupation. I am certainly not trying to minimize the responsibility of the Japanese for their war crimes, it's just that I left the museum wondering why the scope of the British colonial period is not viewed in a similar manner."
,,Interesting knowledge,5.0,,In this museum one learns a lot about southeastasian countries history and art. A must for art lovers.
,,Some splendid exhibits exploring the social history of Singapore,4.0,,"Housed in a series of buildings that skillfully blend the historic with contemporary museum design, the SNM has some exhibits worth seeing by anyone wanting to understand how the dynamic city of Singapore rose rapidly from sets of rural villages. These exhibits are a well-curated set of objects and subtle digital effects.
The food an beverage offerings are quite good and the staff throughout the museum were unfailingly welcoming and helpful."
,,Updated history of Singapore,4.0,,"As Singaporeans, we get free admission so it's a good idea to come every now and again to view the temporary exhibitions and see how the permant galleries are updated. Was very pleased to find that the history of Singapore had additional and interesting information on the surrender of Singapore, the Japanese Occupation and the separation of Singapore from Malaysia. Even more gratified to find the presentation of facts objective and non-controversial, very fair to all parties and countries involved, but details certainly giving rise to individual responses eg presentation of the Tiger of Malaya, General Yamashita, his trial and execution, the Sook Ching Massacre, Lee Kuan Yew's arguments for merger with Malaysia. There was a very good docent guiding at 11am and while not part of the group, overheard her insightful and humorous commentary which was much appreciated by the visitors.
Found the temporary exhibition on 'Packaging' nostalgic, and the items, eg F n N bottles, posters well-sourced and preserved. Also enjoyed again the Enchanted Forest with the digitalized walk imaginatively put together with lovable small creatures, colorful flora and even tropical rain and melodic sounds.
However, it's rather confusing finding your way around and the restrooms' signage is incredibly difficult to identify especially as the one near the entrance has been usurped by ' Food for Thought' , this food outlet looking rather uninviting with over-priced Western fare. Better to walk a bit to Food Republic across the road for delicious local fare."
,,The history of Singapore,4.0,,"Very beautiful building, very kind and helpful staff, all exhibitions help you ,clearly, to understand Singapore story. I spent 2.5 hours and really I enjoyed. The only .... poor was the museum shop,small and without any attractive think ,except ofcourse some nice books."
,,Interesting and informative,5.0,,We spent about 3 hours (and could easily have spent more if time allowed!) browsing through the many and varied exhibits showcasing the history and culture of Singapore. The displays were interesting and informative. The building itself is impressive.
,,Wonderful. Do not miss it,5.0,,This unique museum houses a wonderful collection of the historical and cultural treasures of Singapore. It is housed in the re-purposed city hall/Supreme Court. I appreciated that rooms do not overcrowd with exhibits so you can enjoy each item. You can view it in a few hours or take longer. I will also at remember this thoughtful curated musuem. Do not miss it.
,,The layout is a little confusing,3.0,,Although I looked at the brochure/map I still found it a little confusing to follow the best way to see this museum. We seemed to start at the most recent time and work our way back and I would have thought it would be better the other way around but didn't figure it out. We got a Seniors discount on entry so it cost us $10 each. It is located in a beautiful building. Give it a go if you have spare time.
,,Tour helped,3.0,,"The best part was the architecture of the old building. Magnificent facade great dome. Behind that is a new extension.
Inside someone greets you and profiles you.
Overseas, under or over 60 or local.
Locals free others pay.
There are 2 main levels. Nothing in basement when i went.
The exhibits highlight the history of Singapore.
Going through on my own i felt the exhibits were a bit weak. The tour for me helped a lot.
Can spends a few hours at most there."
,,Old-fashioned museum,2.0,,"I went to see Lucy Liu's art, which was stuck here because the art museum was closed for renovation. The rest of the place is an old colonial-style museum (so is the art museum)that is all about the history of Singapore. It's pretty mundane. At least the AC was working."
,,A must-do attraction,5.0,,Singapore is incredibly rich in history - from notorious pirates to defeat in WWII to it's incredible transformation. The museum covers it all with interesting interactive exhibits. It helps you find your grounding and understand how it became the economic powerhouse it is today.
,,Uncomfortable Experience,1.0,,I have just been herded out of this place 20 minutes prior to closing. 4 staff following me until I left. Incredibly uncomfortable for a solo female visitor. Don’t come here alone and definitely don’t try to stay until the end. Shame on you!
,,Nice & informative,4.0,,"Ticket is 15$ or 10$ if your ‘re student.
Architecture and interior design of the musuem is amazing. They split it into different halls to represent different eras of singapore. They screen a couple pf short documentatries starring real singaporeans.
It is nicely done and informative.
You can also catch the free guided tours if you go on time"
,,A good place to visit,5.0,,An interesting place for people who want to know and understand about the history and the culture of Singapore.
,,GOOD MUSEUM,5.0,,"God museum ,Spectacular exhibition ,Showing the history of Singapore Including the future , Easy access , Use technology to present interesting exhibitions"
,,lovely museum with great exhibits,5.0,,a lovely spacious museum with great exhibits and great space and a very good shop! you can spend hours wandering around it... air conditioned and very well located.
,,Wonderful information on history of Singapore,5.0,,"The National Museum of Singapore is fairly small by museum standards, but it is full of information. There is an amazing exhibit going through the history of Singapore from day “one” to current times. There is so much more to their history than I ever could have imagined. I spent 90 minutes walking through this exhibit and didn’t touch on a lot of it. There was also a neat exhibit regarding conservation, which I didn’t take any photos of but did take a number of videos. Singapore is definitely onboard with saving the planet! This exhibit used film and animation to produce it’s intended effect and it did not disappoint. I would highly recommend a visit here if you are interested in the history of Singapore! And skip the people at the beginning trying to sell you a tour, I don’t think it is necessary given the size of the museum, though I guess they could have some insights having lived there."
,,Educational and enriching about Singapore History,4.0,,Great learning journey to understand about Singapore history and culture. Exhibits are comprehensive and informative with interactive elements. Walk down the enchanting forest experience to enter the museum. Many artefacts to view.
,,Great place for a visit,5.0,,"We spent a very enjoyable morning wandering through the museum.
It has a good range of exhibits with a mix of the modern (interactive video) style and the old.
The exhibits were all interesting & well set out - with the Forrest experience the highlight.
I always visit museums on my holidays and this one was well worth the visit- highly recommend it!"
,,Very nice museum,4.0,,"I thought it was a really good hour spent there. For the first 20 mins I was fascinated but then it just got too much for me.
Looking at the history of Singapore the stuff they have from the war even a tank which I found fascinating. Some of the drawings as well were really good.
I think for kids it will be a bit too much and boring. It’s more for adults.
For adults there is a charge as well of 15SGD if you are a non resident."
,,"National Museum of Singapore - Magic and Menace Gallery, Glass Rotunda exhibition, and 700 Years of Singapore History",5.0,,"With a history dating back to its inception in 1887, the National Museum of Singapore is the nation’s oldest and biggest museum. The famous big rotunda with a stunning dome is just a part of the great architecture that makes the building so special. Located on the bustling Orchard Road, this museum is right at the center of Singapore. NMS is designed like a British colonial building, as it was built for Queen Victoria’s Golden Jubilee.

I visited 2 tours with an FOM docent during my time at the National Museum. The first one was a gallery called Magic and Menace. This gallery contained watercolor paintings that were commissioned by Singapore’s first British Resident, William Farquhar. He was so amazed at the tropical landscape, that he commissioned Chinese artists to draw/paint the flora and fauna of the Malay archipelago. There are also tribal tools, products, and artifacts, even dead animals, from Farquhar’s collection. The reason the gallery is named “Magic and Menace”, is because of the supernatural beliefs of the locals at that time. They believed in spirits, especially in animals and plants. So, depending on whether there were good or evil spirits, they could create magic or be a menace! Another interesting feature of this gallery were the “smell jars” in which you could smell Jasmine, Durian, Nutmeg, and the Yellow Champaka flower. This made the tour a multi-sensory discovery experience of the religions, customs, and cultures of the local Malays in the 1800s.

We continued on into another mesmerizing experience titled “Story of the Forest”. Sixty-nine of Farquhar’s paintings have been converted into a large, 3D digital panorama, creating a view of the Jungles of Melaka. The lifelikeness of the displays is complete with animation, music, and sound, and invites you to interact with the wildlife of the Malay peninsula in the 19th century up close.

The second tour on “The 700 Year History Of Singapore” was about the journey of Singapore to get where it is today. As our docent said, “Most Singaporeans think their history is 200 years old, but in actuality, they will be surprised as to how long the formation of Singapore has taken”.

This tour takes us through four distinct periods in Singapore’s life: Singapura (1299 – 1818), Crown Colony (1819 – 1941), Syonan-To (1942 – 1945), and Singapore (1945 – present). From being a sleepy fishing town to a British colony to part of the Japanese Pacific expansion, to finally getting freedom, the tour highlights the culture, trade, political situation at each stage. It tells you what it means to be a Singaporean, and Singapore’s national identity. Complete with life-sized models, this tour is completely immersive and takes you right to the nation’s defining moments in history. We were told that “nothing in Singapore’s history happened by chance; every move was thought out and well planned. That is how Singapore came to where it is today.”

The NMS is a museum central to Singapore and is custodian of the 11 National Treasures. It is supported by a wide range of facilities and services including F&B, retail, and a Resource Centre. A cultural and architectural landmark in Singapore, the Museum hosts festivals and events all year round—the Night Festival, performances and film screenings, and more—in addition to presenting interesting exhibitions involving important collections of artifacts. This museum is one you shouldn’t miss!

Some interesting quotes by the tour guides:

“Nothing in Singapore’s history happened by chance, and every move was thought out and well planned. That is how Singapore came to where it is today.”

“Through the eye of William Farquhar, we are able to see the beauty of Melaka and the Malay Peninsula, geographically, and biologically.”"
,,Half a day history,3.0,,"Mostly for older kids and adults. History, artefacts, photos. Old building and new modern wing. Playground on top floor for small kids. ☕️ and snack available. Very well accessible with metro 🚇."
,,Great museum to visit,4.0,,"I allowed a couple of hours to check the national musuem. Everything, as you would expect in Singapore, is well organised and presented. Many great exhibits but I found myself in the history of Singapore - including the battlebox and wartime section - to be fascinating - and a good pre cursor to the battlebox down the road in Fort Canning.

A little disappointing that there is a nominal charge to get in."
,,Well worth a visit,5.0,,"Me and my husband had our first trip to Singapore and came across the museum while exploring on our first morning.
We decided to have a quick look and came out 5 hours later!
It is a wonderful museum with well planned exhibits. I would particularly recommend the Singapore history gallery and the circle of life in the rotunda.
The packaging exhibit is also very good.
You do have to pay for access to all exhibits but there are some which are free and the cost for full access is very reasonable.
Highly recommend a visit but allow plenty of time as there is a lot to see."
,,Good but tourists have to pay!,4.0,,"Wasn't expecting to have to pay to enter the National Museum as most big museums in the UK are free to enter but with a voluntary donation so we were unsure about whether to continue with our visit.

The exhibits are definitely worth spending half a day at if you're interested in the history of Singapore right from the early settlers, through the war to modern Singapore. There's a good range of interactive exhibits and different things to see.

The main exhibition downstairs is a little confusing to navigate at first, I was unsure which order I was meant to go round the exhibit in but once you're through to the WW2 section it's much better layed out.

It's fantastically cool inside, enough so that I actually ended up being cold! Perhaps take an additional layer. Didn't eat at the museum as there's a food court just down by Bras Basah MRT."
,,Good break from hot weather,4.0,,Museum is relatively inexpensive ad for Singapore standard (free for PR and Citizen). Some exhibitons are very interesting (e.g. Magic in South East Asia) while some are just lame (doom with forest).
,,Take the 11am English speaking guided tour!,5.0,,"A very interesting look into the history of Singapore. Our tour guide was very knowledgeable and had good insight to Singapores history. Learn about housing and its history, the opium/drug crisis, the early labor struggles and the Chinese, Sir Raffles and his efforts in Singapores history and Lee Kwan Yew the first and beloved Prime Minister. There is a restaurant in the museum. The Museum is located near the Singapore Management University campus/Stamford Rd. The museum opens at 10am and is free to PR, Singaporeans and children under the age of 6."
,,A must visit,4.0,,"This museum is stunningly beautiful building and an excellent and easy way to learn about the fascinating history of Singapore. We`ve been here before and usually have lunch in the cafe, but it was disappointing on this occasion. Not up to their usual high standard."
,,Excellent museum!,5.0,,We had an excellent guide and learned so much about Singapore. So glad we visited. Had outstanding lunch at Flutes.
,,The History of Singapore,5.0,,"If your a history buff this is a must see. Get to view the last 100 years of Singapore. Lots of art work, sculptures and information about when the Japanese captured the area. There's even a tank!"
,,"Interesting history museum, worth the visit",4.0,,"I had not been to this museum in many years, but on a recent trip made a visit and very glad I did. The building is a very nice Colonial style building, and the museum tells the interesting history of Singapore as a trading post to the financial center it is today.
The exhibits are very visually appealing, and everything flows together nicely.
Everyone, but particularly first time visitors to Singapore, should go and learn about Singapores interesting history, from colonialization, to independence to modern day city/ state."
,,Well curated museum,5.0,,"We're locals, been here numerous times, and still lovin' it and recommending to our friends who are visiting... simply because it's a good museum.

Well curated and tells the Singapore and regional history very well, with many artifacts, interactive zones and well-integrated multi-media exhibits to tell the stories better. It's like walking through stories, basically their numerous historical/regional zones, with a very smooth flow, with an extremely immersive experience. The Rotunda is a simple yet fun place for kids and adults alike to experience Singapore's fauna and flora. They also have seasonal exhibitions which truly livens up the whole place with the interactive pieces (e.g. many old games brought back to life as interactive exhibits!), and also brings some truly rare exhibits to Singapore (e.g. wedding traditions and gowns throughout the world and ages).

Never get bored of this place. Good to check out their website for what exciting new exhibitions are coming to down before planning your trip!"
,,Best 6 hours of my life!,5.0,,"Such an amazing experience. I was so lucky as the Sunday that I was there....they offered free entry to their special exhibit (usually an additional cost above the museum entry fee). Definitely take the free tour as it is soooo amusing, educational and entertaining. I didn't expect to spend so much time there but we had to rush through the last section to avoid being locked in.

One sad thing is that the flow of the museum is not clear so the timelines might jump a bit if you walk through the wrong section first."
,,Incredible Mix of Exhibitions and Technology,5.0,,"Constantly refreshed with compelling new exhibitions, the National Museum is a must for family visitors. Singapore's history is on display, its uniqueness and trading hub story sensitively and graphically well told"
,,Time well spent.,4.0,,"Close to the other main museum this one covers the creation and growth of Singapore in an interesting way and has the "" must see ""Raffles Statue close by. Reachable on foot and by tourist boats."
,,A good day out.,5.0,,"The first and greatest delight of the visit is the magnificent architecture of the museum and the now attached old law courts. The cost to visit was reasonable $20sg. Lower for students or those over 60.

The whole set up is marvellous with exhibitions that change over time. There was a minimalist exhibition on when I was there and each to there own it was just that. The exhibition by the artist, Lim was magnificent, showing those with talent don’t need to be minimalist. Other works of art included beautiful sculptures and paintings outlining the history of Singapore and events that shaped this nation.

The law courts now connected by sky bridges are quite fascinating, you see the many areas, objects and manuscripts that guided and controlled Singapore.

Go for it all but especially go for the architecture."
,,A great visit,4.0,,"Educational, well done and worth the minimum $. Youngsters will enjoy the displays as much as us old folk. Cool and inviting with great displays and organization. The building is classic Victorian. Modernized, clean, cool and inviting. Well worth a visit perhaps after the Battle Box. Can be busy, so get there mid morning at the latest.. Expect to spend 2-3 hours."
,,Worth visiting,4.0,,"We visit the museum each time we come to Singapore. The displays are always very interesting. This time we viewed the colony from 1925-1935, to see how life was then. A number of exhibitions going on all the time. Early Singapore, the war years, the evolution to what Singapore is today. A nice cafe and also a fine dining room in the building."
,,Great way to spend a half day,5.0,,"Thoughtful exhibits, create and interesting. Even the baby enjoyed some of the installations. Cafe lovely and even got a free ice cream with the Polaroid exhibit."
,,Excellent,5.0,,"A really well set out, displayed and interactive museum. Not at all stuffy and dry. Thought provoking and informative, within a beautiful building."
,,National Museum,5.0,,"This was a very moving experience for me as it explains vividly the lives of the local people following the invasion by the Japanese in 1942., including how many people died from starvation"
,,General history,3.0,,Museum was surprisingly simple with its presentation of Singapore history - thus a broad outline of their past.
,,Another great museum to visit.,4.0,,"This is a fantastic museum, great displays taking you on a journey from past to present. Interesting to learn about how life returns post war. We were able to get discounted tickets through Klook, but the prices at the museum are very reasonable. Bonus of free wi-fi as well to upload those many pictures. This museum blends the old with very modern displays as well. A great half day outing. The hilight for us was the glass rotunda exhibit, probably meant for kids but we adult kids thoroughly enjoyed the sensory input."
,,Beautifully restored building encapsulates the history of Singapore.,5.0,,"This was my first visit to the National Museum of Singapore. It is located adjacent to the YMCA on Orchard Rd. I was told the exhibits had been recently remodeled and I thought all of it was done with excellence. There are some high tech exhibits which are great fun for adults and children alike. I loved to read about the beginning of the diverse culture and the history of the island. I recommend a visit to anyone who wants to know the back story of this small island nation, now one of the most vibrant nations in the world."
,,Fabulous insight into this unique place,5.0,,An absolutely fascinating look into Singapore history some wonderful artefacts information about world war 2 colonial rule the struggle for independence the building itself is a great glimpse into Singapore past.
,,Very good museum,4.0,,"Although a large museum, the exibitions are relatively small so you do not fell overwhelmed. Has a very good history of early singapore and another relating to the fall of singapore and the recovery from the Japanese occupation. Well worth a visit."
,,Great introduction to Singapore,4.0,,"This is a really good example of a modern museum. The displays are well thought out and there is a good mix of text, photos and displays etc to keep you interested.

Having been through the ground floor, I came away knowing a lot more about the history of Singapore and the major events that shaped it as a country.

There’s a lot to see, so spare a few hours if you like to take it all in as I do!"
,,Old times,3.0,,"Nicely kept and well maintained old time Singapore building, you will pass and visit if on Singapore bus tour. Well worth visit to learn Singapore's history."
,,Very well done1,5.0,,Really enjoyed the layout of the museum and how easy it was to learn the history of the Island. Perhaps more time and space could be used to focus on the current state of affairs and future plans.
,,Unplanned visit,5.0,,"Worth the effort , coffee at the cafe particularly good. Layout a little confusing but a worthwhile visit. Can also use it to cut through to reach the Battle Box , useful when avoiding the humidity"
,,If you want to understand the history of Singapore this is the place,4.0,,The main exhibition provided a great overview of the discovery and settlement of Singapura and its journey to Singapore as it is known today. A must see if you want to understand the Singapore of today.
,,Brilliant,4.0,,"An excellent display if the history of Singapore through the ages. Well set out and detailed.
I joined a guided tour in Englidh that took ab out an hour, then I went back and covered the parts It missed out and those it covered that i wanted to see and read in more detail.
In an expensive city this was excellent value and well worth a few hours of the day"
,,Great visual arrangement of history material,5.0,,"Initially it was hard for me to follow the timeline or even get to understand what this was about. Passing half of the way did i finally know the history and beauty of it, quite late but still worth the try enjoy the trip. Things were arranged in good space."
,,Great Introduction to The Singapore Miracle,4.0,,"I found this a really fascinating museum showing how, under Lee Kuan Yew's leadership, Singapore exploited its few natural advantages to become a prosperous nation. Great section on the building of the high rise homes for workers that you will see if you take a bus or train into the suburbs"
