id,uid,title,score,date,content,,
,,Amazing!,5,,"What a fabulous city with so much to see and do. With only a day and night there, my son and I crammed in as much as we could with a trip to see The Supertrees light show, drinks from the roof top bar and an amazing meal on top of the Marina Bay Hotel. We walked round the Cloud Forest and The Flower Dome and were blown away by the variety of plants and the spectacular setting. The whole experience was magical and I will definitely visit the city again. I highly recommend it.",,
,,Probably better to go during the day,3,,"We went to this attraction because it sounded so pretty at night with all the lights. And it was - but, you should also be aware that it is too dark to actually read all the placards about the plants, and many of the plants aren't well-lit, so although it is dramatic, it's not a great experience. My guess is that we would have enjoyed it more if we had gone during the day. It was also super crowded, but that may have been due to the Christmas displays. There were limited options for food, as well, partially because one restaurant was closed for a private party.",,
,,Plants Your,5,,The volunteers have given us a great overview of Garden by the bay and we are more aware of the trees and flowers planted in the garden. Good and very informative tour.,,
,,Oustanding,5,,This is a must do when you are in the city. It is a stunning experteince. Do not forget to back at night for the light show.,,
,,Worth a Visit,4,,"It has three main attractions close by i.e cloud forest, flower dome and super tree structures. one can visit all three in 3-4 hours. best time is late afternoon finishing with gardens by the bay light show. Close to MRT station. One can also walk through Marina bay sands hotel.",,
,,Worth for visit,4,,"Great experience to know more species of plant and flower in this era. Walk close to nature in cool air, it's really amazing esp in this only summer country. An awesome place must bring families and friends esp festive season.",,
,,A Must Visit whether Locals or Tourists!,5,,"I have been there twice so far and both the Flower Dome and The Cloud Forest are
amazing. Go first thing in the morning to avoid the crowds. Check online to see what special exhibits they have. The Gardens bring in Cherry Blossoms, Tulips, Sunflowers during different seasons. This is one place where you can see the different types of plants and flowers under one roof without being exposed to the hot sun and insect bites.",,
,,Amazing place for families and folliage fans,5,,"We live in Singapore (my wife, 2 yr old daughter and I) and we regularly visit the gardens. There are lots of nice walks, a water park, rainforest cloud dome, cycle and walk paths, otter spotting, Satay by the bay for food and lots more. We like to go in the evenings for the light show especially when visitors are here. This pic is from the Winter Wonderland at Christmas which is always worth the visit. Be prepared for big crowds at the weekends though.",,
,,For MICE,5,,"A really grea5 place with a natural surrounding within a modern structure . Here every plant is cared for by a hardwirking team , also themes kept on being added as per flavour of the season .",,
,,Winter wonderland at the bayfront,5,,"This is the first time the organisation hold the Christmas lighting at the bay with mini food stall and souvenir stalls along the park within the premises, viewers have to purchase entry ticket for entering to take photographs and spending times with friends and families, besides that is to enjoyed the cooling breeze and walking around the plant which is growing attached to the giant piller with light shine on it.",,
,,Cannot get enough,5,,"If you like flower and plantTion and hate sun, this is the best place for you.

You have fo check what they are having for the seasonal/ thematic plant, for example they have orchid garden, or tulip fest.

You might walk a lot but the flower dome itself is not too big :(.",,
,,In awe of the colours,5,,"Wow what an experience. The size of the dome and the layout. The planting season and created scenes were amazing. Go just before dark so you get to see the gardens light up. The colour shows are a beauty, but then so is much of Singapore.",,
,,Worth your time & money,5,,A fantastic area to explore for the young & old. If you love nature & flora then look no further. Passengers whom arrive via Singapore Airlines or SilkAir also get 10% off their entry ticket when they present their boarding pass stubb so don't forget to show that!,,
,,A sense of peace shrouded by greenery...,5,,"A wonderful sanctuary in the midst of concrete skyscrapers! If you love nature and greenery, you don't have to travel far to be close to nature... I spotted the occasional surprise of iguana passing my path with amazement... Good spot for picture taking and enjoying some idyllic landscapes and fresh air :>",,
,,Spectacular gardens,5,,"Even if you're not a gardener, you can't help but be impressed by the Gardens by the Bay. It's equally brilliant late afternoon/early evening, with a fantastic light show on nightfall. The walk above the ground before the light show is definitely well worthwhile; be early to avoid the queues trying to access the elevated walk. It is within easy reach of the MRT.",,
,,Enchanting city garden,4,,"This place fuses nature and man made garden into one amazing place. There are plenty of plants and flowers to admire, while the gigantic and iconic artificial Super Trees, provide a sense of grandeur as they tower above the garden. The indoor gardens are a must to visit, and there is one of the world's largest indoor waterfalls located inside.",,
,,Great place!,5,,"Amazing garden! The show at night is really cool! You will find a vast amount of plant species and different areas to explore! Solo, family or couples travel this is a must! Visit the domes if you can too!",,
,,Definitely worth to see,5,,"Given that most of sightseeing places in Singapore are man-made, this one is ranked the top to see. Free entrance for just roaming around and also light-sound shows at night.
Best to go earlier to get good spot for lying down and chilling during the shows.",,
,,Well designed,4,,"Yes, it is man-made. Still, it is really well made!
It is not my first time, I brought family over. I remain impressed at how well designed and thought through this place was.
To maintain a climate that accommodates different plants from different parts of the world, with nice art-works. My sister, who is a botanist by training and loves plants, was impressed and even said that it was better than the one in London (which I haven't been to). If she says it's nice, then it means it's nice! I trust her!",,
,,Christmas Wonderland,4,,"Gardens by the Bay is few minutes walk from Bay Front MRT.
Now Christmas Wonderland lighting and festive market is there.
Go in the evening to see the lighting. In the evening with the lighting, festive market, variety of food it is a nice place to spend few hours.
Children will love the atmosphere.
Tickets are available online and at the venue.",,
,,Very beautiful but too much walk.,4,,"Its a man made marvel standing in the middle of the city.Well managed, clean and worth going.The condition in which they keep exotic flowers is commendable,I enjoyed cloud dome more as I am not flower person(it was also very beautiful though).Light and sound show happens in the evening around 7to8 pm for 15 mins, must watch.

Only thing missing was amenities for old people who cannot walk.While coming back towards MRT,there is no place to sit.Hope they do something about it.",,
,,Garden by the bay,4,,"It was great experience and quite a variety there but bit expensive, I believe it is targeting only limited visitors",,
,,Gardens By The Bay,4,,"Very beautiful, huge and clean garden. Recommended for visit from evening unless you love the Sun, Ensure to bring your camera along to capture the nice views and you may get to catch the OTTERS in group. A very convenient garden that is linked through Marina Bay Sands. Reach there by SMRT or Taxis and there is a local food centre but it is tourist pricing. Stay late to catch the night lasers show. Wear light and comfy walking shoe and umbrella (if it is rainy season).",,
,,Great Attraction for Family with Young Children,5,,This a great attraction for families and friends. It's a huge place a involves a lot of walking which is also good for your health. It has attraction for additional price. There is also a water park where kids can enjoy and play around.,,
,,Massive place,4,,"Not the first time I visited the place. A relaxed walk in the middle of a global forest where all the region of the world are enclosed. The air conditioning helps a lot, someone won't go out after the visit. Suggesting to go around lunchtime, maybe after a visit to the Data By The Bay food court which it is located closely. No crowded at that time.",,
,,Giant glass house,5,,"What can I say, went to Singapore numerous time but only now I decided to go to Garden By The Bay.
Because they have The Christmas Wonderland Illumination and Tsum Tsum
The illumination and tsum tsum were so so, I was more impressed with the scale of the plants and arrangement along with the magnificent architecture.

So it really worth the queueing.",,
,,Beautiful,4,,"We visited the christmas wonderland. There is an entrance fee. It was decorated & lighted up. Plan ahead..its extremely crowded on weekends. There is even a dazzling show of lights & songs. There was a choir group singing carols. Behind a digital screen ""the christmas grotto""..there is free photography with santa.",,
,,A Must Do!,5,,"The Flower Dome and Cloud Forest are two very unique conservatories. Though they are open till 9pm, we couldn't take nice pictures without daylight. The Flower Dome has a very upscale club.

The Supertree Tree Grove has a light show at 7.45pm and 8.45pm. Not to be missed is the OCBC Skyway which allows us to walk among the Supertrees.

Satay by the Bay has delicious local food only a 10 min walk from the domes. Affordable too.",,
,,Garden by the bay,5,,Good location Easy to locate Entry is free Beautiful scenery Clean and green Excellent staff service,,
,,Spectacular man made nature reserve,5,,"I visited this place in September with my girlfriend. Not being a fan of flowers, I went with an open mind.

I was pleasantly surprised when we got there. Although it was crowded, there was sufficient space for people to observe and take in the beauty of the displays. There were sculptures incorporated into the floral displays, such that some of the flowers were wrapped around these sculptures, or actually were ""molded"" into sculptures.

Being a local, I highly recommend Gardens by the Bay for people of all walks of life. It is truly a worthwhile attraction, considering that Singapore's becoming increasingly ""concrete"".",,
,,Amazing garden,4,,"This place offer greenery with amazement. It have flower, plant and tree like no other place. Good place to take a picture due to the colourful scenery.",,
,,Delightful day/night,5,,The garden's are visually stunning. I would recommend a afternoon then stay for the night show with the giant tree's just a delightful experience. You can buy drinks ice cream food. Toilets are very clean. The show starts when sunset has happened. If you would like to have the best position then you can buy a ticket and stand on the bridges between the tree's. Or just look up to the sky for free. Plenty to see or just enjoy the walk. There are designated smoking areas however not many.,,
,,Absolutely stunning,5,,"So relaxing and beautifully made garden. Definitely visit when in Singapore, U can either go to one or both dome..",,
,,Light up trees,5,,Awesome. Everyone should go - but go at night. The sound and light show is excellent. Long queues for the walkway though,,
,,Gardens By the Bay,4,,"Brilliant environment, amazing tree structures, wonderfully maintained. Good food joints, excellent greenery",,
,,Day visit,5,,"We arrived at this beautiful exotic place with the most wonderful gorgeous plants arranged so artisticly. We spent a whole afternoon and evening there as you can wander around at your own pace with so many interesting things to see and be amazed. There is so much to see and enjoy, it鈥檚 a must to visit.",,
,,Nice creativity,4,,"Light show was gud in the view of Marian Bay sand, different types colored lights dancing to music, must see place, daily two shows available i think",,
,,Gardens by the bay,5,,A wonderful place filled with modern beauty. The only downside is it's quite expensive. The perfect timing to visit the garden is around 5 pm to 9 pm which allows you to catch the night view as well as the view in broad sunlight,,
,,the two domes,5,,"it is worth visiting the two domes, take your time and enjoy all floors, the second dome is in my opinion more interesting then the first. the waterfall is nice to visit.Good to be there before the light show starts at night. The show is amazing and the music is good. Keep in mind that the taxi lines are extremely long, it can take up to one hour to get a cab from the event. Good idea is to leave the light show a little bit early and make it to the taxis, could be worth it.",,
,,Quite remarkable,5,,This is definitely one of Singapore's MUST visits. Anyone with a fear of heights might find it a tad challenging!,,
,,Great for all ages!,5,,The gardens by the bay were awesome! We did both bio domes and then the large tree top walk. Beautiful flowers and other plant life! Great for any age!,,
,,A must !,4,,"The Gardens by the Bay is a must-do attraction for anyone visiting Singapore. Although man-made, it is particularly well done and the domes (flower dome and cloud forest) are spectacular.",,
,,A must !,4,,"The Gardens by the Bay is a must-do attraction for anyone visiting Singapore. Although man-made, it is particularly well done and the domes (flower dome and cloud forest) are spectacular.",,
,,Out of this world,5,,"From the moment you step into the gardens, whether day or night this place was just amazing. The creative works with the attention to detail just makes this place a must return to visit.",,
,,Loved it,5,,We spent a morning here. Was lovely to see the gardens in the domes helped that they were lovely and cool inside too. We did return on another evening to see the light show.,,
,,Still enjoy to go there !!,4,,"Everytime I am Singapore, I enjoy to go there and to see the evolution on the gardens and the plants growing on the metal trees.
This time again a lot of pleasure to visit it.
Unfortunately, long queue !!! and a request to limit to 15 minutes the visit!!!",,
,,Pretty,4,,Nice wandering around the gardens. Lovely smells of different flowers. We went on the high walk which had amazing views. Also enjoyed a beer and snack in the bar outside.,,
,,A Wonderful Garden in the City,4,,"This is my second visit to Gardens by the Bay, I like the beautiful landscapes and many greenery and flowers around. You can see different kinds of flowers on display, they change accordingly, example in December is the Christmas theme ! Especially I like the aircon domes where you can walk and admire the flowers and plants without the sun shinning on you...very refreshing and comfortable. The location is very convenient, you just take the MRT to Bayfront station and walk there (within 15 minutes) and sheltered all the way. You can stay there till the night and is very beautiful with the lightings. A place which I will visit whenever I have the time.",,
,,"Incredible, not to be missed.",5,,"This was the highlight of our visit to Singapore.

The gardens are free with an incredible variety of plants, sights.

We visited both the Cloud and Flower Domes.

Entry price for each adult was 14 SD (~$10 USD).

We paid separately as the Cloud Dome was closed for maintenance on our first day.

Closure dates are listed on the GBTB website.

The Flower Dome was our favorite.

Incredible displays which were well designed.

We spent 2+ hours in the AM, came back in the afternoon (make sure to get a re-entry stamp at the exit).

We returned to the Gardens for the 7:45 PM light show.

We watched from the Super Tree dining area, as well as near the Super Trees.

The dining area provided an excellent overview without the crowds.

The light show lasted 15 minutes.

I'm glad we went, but I wasn't overwhelmed by the music or the light show.

The Gardens are easily accessible using the MRT via the Bayfront stop (~10 minute walk) or a variety of bus lines, most of which stopped near the Marina Bay Sands Hotel.

If you can visit one site in Singapore, make it this one.",,
,,Beautiful Structures,4,,"The botanical garden might be the highlight of our Singapore trip. Not that there was much to do but view plants and take pictures, but the man made structures outside meant to resemble trees were very picturesque! The garden itself is indoor and has alot of plants subdivided into categories (japanese, exotic etc.) and made for beautiful pictures.",,
,,brillant,5,,"this is the must do on anyones visit to singapore, we visited in the afternoon so we could take in the domes and the light show. the domes were really good and while busy you could find little corners of peace to look up and enjoy the surroundings.the evening we timed are visit to the skywalk just right and got up there as the light faded. and we remained up there for some of the light show , which was really good made better because the music played was from my youth, felt young again even if it was only for 15 minutes. Had some food there as well which was really good as well. a great aftrnoon out",,
,,Detailing!,5,,"It's a treat for the senses! Innumerable varieties of flowers won't allow you to pass by without you wanting to click a photo of them. Immaculate detailing so you can experience the flowers and plants with leisure.
Breathtaking is the word that will strike you the first time you see the huge waterfall. Admirable that it's entirely man-made.
Not to be missed.
Provision 4 hours for this place.",,
,,Amazing gardens and experience,5,,If you like gardens you will love this one. I can recommend to get to gardens in the morning and go first to visit the domes in the morning it was empty until about 11 after lunch it鈥檚 so many people visiting that it is hard to take photos and move around same goes for the cloud dome do that one first so you can get great photos at the water falls!!! For each dome you need comfortably about an hour. Don鈥檛 forget to go back for the super tree light show in the evening that is a must see experience one more thing inside both the domes is really cold and it鈥檚 a shock comparing the temperature outside I had a rain jacket and was great full I had one lots of people got cough out and didn鈥檛 enjoy the experience long enough....,,
,,The tranquility within a city!,4,,"A step into the garden will definitely
zest you up with all the greeneries and flowers, feels like you are trap in a ""gigantic green house jungle' surrounded with the scent of greens and flowers with the sound of the waterfall.
Great way from escaping away from the hot weather here!
Makes one feel like you are in 'Alice in a wonderland!'",,
,,Garden by the bay,5,,One of the best place which should visit at night because there do have a fantastic light show with music.,,
,,Good overall visit.,3,,"We visited the cloud forest, Flower dome and the Christmas Wonderland-all were nice and colorful; however I felt it was a bit expensive for a man made attraction. The Botanic Gardens were more impressive. All attractions here are individually priced and the Christmas Supertree area is another cost. For adults there isn鈥檛 much in the Christmas area-great place for some gorgeous pics of the super trees is about it.",,
,,Simply amazing,5,,"Words or pics cannot describe how amazing this place is.
It鈥檚 a definite 鈥榤ust do鈥?if you visit Singapore. The Cloud Forest and Flower Dome will leave you speechless BUT despite the outside temperature, I would suggest that you take a jacket as they鈥檙e very cool.",,
,,Quite surprised,5,,"This garden was so amazing is that most of the main attractions were indoors with really good air conditioning and I got in for free as part of an excursion organized by our workshop organizers to break the ice. Prepare for amazing and picturesque spots and to spend a lot of money on beautiful souvenirs. Come at night and enjoy the colors and the lighting, you won鈥檛 regret it.

Highly recommended.",,
,,Improving evertime I visit.,5,,"Being my 3rd visit to the Gardens it was surprising to see just how much things have grown. A good exhibition in both Domes and the signature Super Grove climbers are nearing the top.
Made even better as the Xmas exhibition was starting to take place. Always a relaxing place to visit. Did not stay for the evening light show due bad weather.",,
,,Beautiful,5,,The gardens by the bay are absolutely stunning. You could spend all day and night there or just a few hours. The plants are amazing and the light show was very entertaining- a lot of fun. The crowd was big at 745pm for the light show but not a problem. They were charging to get into the light show for the month of December because they also set up the Christmas display in there but there are other places to view the lights from.,,
,,Just Amazing,5,,"The Gardens by the Bay are a must to visit when in Singapore. Perfectly amazing, is my description. Such a vast impressive area, all beautifully laid out and maintained. A real credit to Singapore. Far too beautiful to review in a few words - just go there and see for yourself.",,
,,Cloud forest was amazing,5,,Cloud forest is a breathtaking spectacle. Unlike anything I'd ever seen before. You have to do this when you're in Singapore.,,
,,Beautiful garden,5,,"I read somewhere that this is one of the 100 places in the world that we should visit in our lifetime. Indeed it is. I have been there 4 times in 2 years and never gotten sick of the place as the flowers and plants were of wide variety. Especially the flowers, there were exotic flowers imported from overseas seasonally. I always felt very energized and refreshed every time I visited the place as the air was full of ions.",,
,,Beautiful place to visit,5,,Worlds largest green house - impressive place to visit. So beautiful. Saw some ancient olive trees with olives ready for picking! Saw other varieties from all over the world. Impressive.,,
,,Magical Light and music show,5,,Went on the city night tour which included Chinatown (Street Food Market) and Gardens by the Bay next to the Marina Bay Sands Hotel. Music and light extravaganza. Wonderful!,,
,,Iconic views and signature shots,5,,"If you put together the list of top things to do, this certainly is one. An easy walk through and so many opportunities to capture the super trees in the background. Walking in ""stop and stare"" mode at the garden sculptures and trees makes you feel you ate truly on holiday in a magical place. Manicured and well signed. I will return.",,
,,Forget the rest. This is the best. Amazing.,5,,"We had three hours free to go to the gardens. We walked across an easy bridge from our hotel and were very soon amongst some pf the finest and inspirational gardens anywhere. We loved the conservatories. We gave the trees a miss as the queue was long. At first we found it difficult to understand all of what was on show and to make the best choice of what was available at that time. We didn't do enough homework, so my advice is to find out as much as possible before you go.",,
,,Stunning by Day or Night,5,,Yet another awesome must see while your in Singapore. In the shadow of Marina Bay Sands Hotel and visible from pretty much the whole Bay Area . We went at night and is has a feel of being other worldly. The layout is compact and easy managed in half an hour. By day we could see loads of people sitting in the shade relaxing. A cocktail on the roof bar of the Marine Bay Sands Hotel finished of the evening perfectly.,,
,,Beautiful gardens,5,,"Wonderful visit to Gardens by the Bay. Loved the Cloud Dome with the ferns and orchids. The flower dome was a little disappointing because they had used the floor of the dome for Christmas decorations, which were wonderful, but I would have like to have seen more flowers. Strongly recommend a visit.",,
,,UNIQUE!!!!!,5,,"Just two words to describe this place: UNIQUE and SPECTACULAR.
Very organized and structured place.
With a lot of interesting things to see and visit. One important aspect is the fact that you go to Gardens by the bay and learn more about nature and is importance.",,
,,Worth a visit,4,,I must admit i did prefer than botanic gardens to this place. But i still enjoyed it. Very tourity & exi. Lots to see - definitely plan staying there for a full day so you can take it all in with plenty of time.,,
,,Great Place for Kids and Family,5,,Worth visiting and enjoy the Gardens. Very well kept and maintained. They have several different gardens such as Asian garden with Asian theme. Would take a few hours to spend time if you are into botany.,,
,,Must See!,5,,"The Gardens By The Bay is a must see in Singapore. From the artificial flowers/trees that are most visible, to the lush park, the area presents a welcome break from the frantic pace of Singapore.",,
,,Great,5,,Very well laid out and a superb garden . Definitely a visit not to be missed . Would strongly recommend .,,
,,Beautiful,5,,"The gardens are beautiful, best seen at night. There is a light display each evening so check for times and make sure you are in the right location. Easy to get to on the MRT.",,
,,Gardend by the Bay,4,,"One of the obvious places to visit in Singapore. We travelled by SMRT which was quick, cheap and easy plus there was a tourist guide there who gave us a map and directions. There is also a shuttle stop here that takes you to the visitor centre for tickets to the domes. The walk is interesting with lakes and different garden areas to look at but the signposting is not overly clear so the map was helpful. There are different themed areas with planting to match.
We chose to take an audio tour around the park which is very big. This lasted about 20 mins and gave a history of the gardens as well as information, brief and rapid so concentrate! Worth it if walking is a problem.
The sky walk around the super trees can be closed at a moments notice if there is thunder or rain, we queued twice then gave up but it looks worthwhile. The Supertrees are certainly spectacular and you really don't get their size until you are up close. We visited both domes, the flower one was a little underwhelming but pleasant and the tropical dome was made for impact, we would have liked a bit more information/education about it. I expect the heavy bias on conservation near the end was targeting the Chinese and other far east tourists as it was nothing new to us.
Allow yourself a lot of time and plan where you want to eat as mealtimes were busy and the cafes/restaurants are spaced out. A good day out that needs some planning. Didn't go back for the evening light show so can't comment but there was a xmas market which didn't open til the evening - looked a little tacky.",,
,,Must go place,5,,Must go place in singapore ..enjoi the cloud dome..flower dome during the day..but do not miss the mesmerising light show of the night..,,
,,Exploring the nature,4,,Gardens by the bay is one of the tourist attraction in Singapore.besides the tourist there are good no of locals who visits this place specially in weekend.entire space is covered by glass and temperature controlled.so you don鈥檛 have to worry for sudden rain which is very common in Singapore .,,
,,BEAUTIFUL,5,,"A lot of walking involved but well worth it for the absolutely beautiful view and scenery. Flower dome and cloud forest is a must visit for tourists, especially if you鈥檙e a plant lover or just want to get some insta-worthy pictures. The gift shop is also amazing and unique. Other than those two attractions, the location is more suitable for just jogging or walks.",,
,,Big garden,5,,You can spend a long time walking around the garden. Is free to walk around the outside of the garden and you can expect to walk for miles. There is a inside bit of the garden where you have to pay to get in.,,
,,NOTHING LIKE IT,5,,"I feel like I was in another world. Its beautiful, gracious and it just blow your mind away. A big thumps up for those staff who have to take care and maintain the garden.",,
,,Inspirational and innovative,5,,"There is so much hype on other reviews about Gardens by the Bay that I came prepared to be disappointed. Far from it - I'm joining the hype. Absolutely wonderful gardens and the two domes are a stroke of genius. I was awestruck by the beauty of the domes and such a wonderful sanctuary to escape the Singapore heat. Both domes are a very pleasant temperature and humidity and it would be easy to stay there all day. Cloud dome is awe-inspiring. A tip for the cloud dome! Essentially you walk along a path and then take a lift to the top and walk along aerial paths and other exhibits on your way back down to where they might expect you to exit. Well that's the psychological idea to keep the crowds moving (and out). Once you are about to exit the dome, if you walk around to the right (and this is not sign posted) you come across the lift that can take you back up to the top. You're actually a level below where you got in!

The skywalk is well worth the effort. The entrance to the skywalk is not the easiest to find, even when you might be quite close. Perhaps because it wasn't too crowded there were no queues!!",,
,,The Place That We Must Go,5,,"This is the only garden in Singapore with air-conditioning. As a tourist, make sure you have the stamina to walk around the whole Gardens by the Bay. It may take you a day to finish it. At night, the supertree is magnificently beautiful. Worth visiting and take a lotssssss of photos.",,
,,Nice Sunday walk,4,,"This place feels so nice and relaxing.I went there on a sunday. and we could also get some OBikes. It feels refreshing to walk under the trees, and you are still a few steps away from the city. Really great. I recommend going their with kids.",,
,,Worth visiting,5,,Amazing place and build beautifully hats off to the genius behind the buildup make sure you both doom.......,,
,,"Very busy , a long way to walk",3,,The gardens are lovely but extremely crowded when we went late afternoon. A long way to walk and limited availability of help for people with mobility issues. Staff courteous but not much help with transport. I wouldn鈥檛 recommend unless fully fit,,
,,Beautiful gardens,5,,Spent 4 hrs looking around the gardens in the shadow of the awesome looking marina bay sands hotel. Gardens are kept beautiful and there are light shows in the evening from the garden centre piece and from the bay sands hotel,,
,,Lovely garden that has much to offer,5,,"This is a great place for a stroll or just to relax as there are a lot of greenery, plants and sights to see. There are free attractions such as:
-the Super tree grove with free light shows at night
-far east organisation children's garden (free waterplay, play areas and more)
-sun pavilion
-heritage gardens, Bay east garden

The following are paid attractions found here:
-cloud forest (nothing much honestly, just greenery, elevated boardwalks, an indoor exhibition and a waterfall)
-flower dome (a beautiful attraction filled with vibrant flowers, smells, art and statues)
-OCBC skyway

During the Christmas season there is a Christmas wonderland ongoing till 26 Dec this year, with carnival rides, booths, games, shows and performances!
Overall a beautiful serene garden offering a variety of attractions, not to mention, good food!",,
,,Gardens to Appreciate,5,,The Gardens by the Bay is a must do destination. It can be a whole of family experience. What has been created will touch your senses. Allow plenty of time to soak up the atmosphere and tranquility.,,
,,They really want your money,3,,I liked the cloud garden a lot but it really annoyed me that they had a 鈥榳inter wonderland鈥?on and you had to pay to enter it to get to the skywalk. Even if you had no interest in the 鈥榳inter wonderland鈥? Then they hadn鈥檛 bothered to change their signs so every direction we went in to try to get to the mrt was blocked off. Walked in circles for ages. Complained to staff who clearly couldn鈥檛 care less. The ticket for the cloud garden and flower dome is expensive. The cloud garden is very impressive but the flower garden not so much (not worth the price for sure).,,
,,It鈥檚 worth it...,5,,Yes: It鈥檚 worth it. I very much enjoyed walking around GBTB. It鈥檚 clean and organized and attractive. What more could you ask for?,,
,,Gardens by the Bay,5,,"Truly amazing architecture, plants, shrubs, design + more. There is a children's area to play & run through water fountains. Highly recommend this as a must do",,
,,Nice light show,4,,"Went there for the evening light show. Did not get to roam around much; the place is big and there are a lot of things to pass the time by. The light show however was crowded, with some people lying down on the floor, but over all it was a good experience. Would I come again for the light show? Once is enough",,
,,Wow,5,,We went here and on buying ticket we were informed they had the Winter Wonderland display on. It was spectacular. The domes were great but the light and sound show really made it a spectacle,,
,,A must visit place!,5,,"Divided into 3 parts- cloud forest, flower dome and ocbc skywalk. U should definitely visit here as it is one of the main attraction of singapore. Cloud forest welcomes u with a waterfall which feels refreshing and soothing. Flower dome has varieties of flowers.",,
