id,uid,title,score,date,content,,,
,,Singapore Flyer,5,,"superb experience, must explore once. Beautiful city view from the top. The greatest place to play and enjoy. I鈥檒l back again for Singapore Flyer",,,
,,Very good to view,4,,"Very good to view the entire city in evening time. covers all overview of city, much more recommend the ride",,,
,,We really enjoyed this activity,4,,We really enjoyed this activity and also it is easy to use and redeem. The view above the flyer is so beautiful while gardens by the bay was so relaxing. We even ate gelatissimo after riding the flyer.,,,
,,Singapore in the sky,5,,Hallo from the sky!!! This modern comfortable Flyer like a cabin takes u high! With air conditioner goes well!馃馃槵,,,
,,Wow what a view,5,,"Fantastic view, hint, get there early, opens at 830am. We had the pod to ourselves, well worth the money, local train station only 5 minutes away.",,,
,,Worth doing with great views.,4,,"Standing 165 meters tall lasting 30 minutes, it commands great views of Marina Bay with a view back at Singapore directly above Pitt Straight of the F1 Grand Prix race track.
Other than bu taxi which is very economical, both Hop-On-Hop-Off buss services stop at the Singapore Flyer. (The Singapore Eye).",,,
,,Different perspective,4,,"The view from up here is great you can see all of singapore from the highest point.
Of cause if you're not good with heights then this isnt for you, if youve got a couple of hours to spare then this should be on your list, its super easy to get to on mrt.",,,
,,Singapore Flyer awesome,5,,Awesome view of the city. Very safe and very comfortable ride Enjoy unlimited A life time unlimited expectations vs real reality...,,,
,,Amazing views,5,,"Amazing views. A must if you are in Singapore. Recommend to take the tour with the Singapore Sling Cocktail option. No queuing, priority bording. Best time is7:30 just aftersunset.",,,
,,Nice Views,5,,I was excited because it is 165 meters tall. I took the nice and excellent pictures on the flyer. It was good spending half an hour.,,,
,,Beautiful place,5,,"Well like everything else in Singapore, this attraction is also beautiful and picturesque. We were short of time hence couldn't enjoy the flyer ride. But the surrounding area is also beautiful.",,,
,,Memorable views,5,,This was my first time on a ferris wheel this huge. I was afraid and excited at the same time. The flyer provided us views that were magnificent. We were there during the sunset. Beautiful ...,,,
,,Awesome view all around the city,5,,Gives you a great look around the city in all directions including out over the gardens area. Takes about 30 minutes to do one revolution. Well worth it and about 10 mins walk from the Merlion area.,,,
,,A great dining experience rotating twice on the Flyer with fireworks included,5,,"e booked the dining experience on the Singapore Flyer and although relatively expensive it proved to be worth every dollar. Right from arriving and being greeted in the lounge area, escorted into our dining cabin - 5 x tables for couples. The waitress was excellent looking after everyone extremely well. The food was well prepared and served - we had the western fixed menus of lamb and fish - cooked to perfection.
Highlight of the night was when at the top of the Flyer on our 2nd rotation the rehearsal of the National Independence Day fireworks went off - very spectacular for all those in our cabin !! :-) Tip - make sure you order your drinks [with 2nds if required] as once you are on board there is no 2nd drinks ordering].",,,
,,A pleasant way to spend a half an hour,5,,"We joined the flyer from a trip we took on the Hop on Hop off bus trip around Singapore and thoroughly enjoyed it . The view from the top was spectacular with different panoramas being The Garden By The Bay,Singapore鈥檚 CBD and the vastness of the Harbour with literally hundreds of large ships sitting at anchor.
Well worth it",,,
,,Excellent view,5,,"It's worth the price, excellent view best time to visit is sunset time. you get both day and night views of the city.",,,
,,This is a must when in Singapore,5,,"It was a spectacular view from the top. You can see everything. We did it during the day, but I would think at night would be amazing too. Either way, it is a must in Singapore.",,,
,,A Must-See Attraction,5,,"This will give you a very nice view of the city. It is good whether you do it in the morning , afternoon or night, depending on the kind of view that you want.",,,
,,Great View,5,,We enjoyed the 30 minute ride and had the chance to see a thunderstorm over the Ocean. Also the view over the city was amazing. Sadly it was very cloudy. I would recommend doing it on a sunny day!,,,
,,Wonderful experience,5,,Whole family enjoyed our time at the Flyer. Staff very helpful while the time on Flyer was very enjoyable,,,
,,Awesome view,5,,My son loved the Singapore Flyer. We went as part of the Changi Recommends tour. It had been raining on and off but was only sprinkling on and off during our tour. We were fortunate as this meant that we could ride the Flyer. The tour guide got our tickets while we relaxed after our walk there. Because of the rain there were not as many people waiting to ride. There was a wedding party and it was cute to see the couple so happy. We were fortunate that they allowed our tour party of 6 a car to ourselves. Looking out we could see many of the attractions of Singapore and out towards the ocean. When we got to the top we could look all around us as the view was not obstructed by any buildings. Would ride again as it was fun and a smooth ride. Might not be as fun if it was crowded but great first experience on the Flyer.,,,
,,Nice but...,3,,It was nice I wont disagree but I went during the day which made me expose to the Sun's Ray. Should visit only during evenings for the cool light effects which was a miss for me. I enjoyed. Get your tickets online.,,,
,,"Beautiful view, worth the visit",4,,Going in the morning we didn't have too much of a queue. The way in/out of the flyer is easy. The views are beautiful and there's a useful ipad to explain to you what you're seeing. A nice outing.,,,
,,Must do experience,5,,"The 30 minute ride on the flier is a nice peaceful way to get a great view of the harbour area. It is surprising to see the vast number of ships out in the Singapore straight, the interactive screens explain what you are looking at so it鈥檚 easy to get the lay of the land, each pod hold 28 people so the line moves quickly. We went early and didn鈥檛 have to wait, noticed it got busier as we were leaving as lots of your groups go there.",,,
,,Great View of the city,5,,Try the eve view around 7 pm so you can see half day and half night view as the flyer goes around. Also try to go on a weekday so you dont get much crowd in your capsule.,,,
,,Bucket list tick for us,5,,"Loved this half hour, beautiful views in air conditioning. Highly recommend doing this, we really enjoyed",,,
,,Singapore Flyer,5,,It provides excellent view of entire singapore... breathtaking views from the Flyer.. must visit iconic hotspot for all people visiting Singapore.... !!,,,
,,Great views day or night,5,,"I have been on the flyer both during the say and the evening and if you have flown into town with Singapore airways take your boarding card and show it to the ticket sales assistant for a healthy discount.

You can buy food and drink in the surrounding ticket sales area before or after your flight on the flyer and you can use the hop on hop off bus to travel here, again using your Singapore Airways boarding card for a discount.

It's certainly worth the time and the money to do this.",,,
,,Pathetic experience,1,,It was worst experience to visit this place. Poor customer service.its overpriced and long queues and humid,,,
,,360 View of Singapore in One Hour,5,,"The Flyer takes you round to give 360 degree view of the town so beautiful. Sit, stand and relax in air conditioned cabins and enjoy the panoramic view.",,,
,,Offers a great views,4,,"Can be a bit pricey but worth the view. Even though it was a cloudy day it still offered a great view of the city. It wasn't busy so we didn't have to wait. It's easy to find. Lots of shops and food court in the plaza. Pods are sealed and cool, can be a bit cramped for tall individuals.",,,
,,馃帰 Fun 馃帰 Fun 馃帰 Fun!,5,,"I definitely recommend this place if you are in the mood for a little adventure. This place is ideal for solo travelers, family 馃應 or friends. A nice view from Ce La Vi 57th floor.",,,
,,Amazing 360 degree view of singapore,5,,Amazing 360 degree view of Singapore skyline from the Singapore Flyer. As it goes at a slow pace one can get excellent photographs from above. It takes approximately 45 mins to complete one round. Its a must do activity when you are in Singapore.,,,
,,Fabulous views panoramic views.,5,,A great experience. Fantastic photo opportunities with a commentary telling all about the area. Pick a clear sunny day for the best views and although only about 30 minutes - well worth the money.,,,
,,Awesome view of Singapore skyline!,4,,"Lovely view of the skyline. Try to go in the evening when you can enjoy the view before sunset as well as after sunset. Since the flyer moves slowly, you can capture good and memorable pictures.",,,
,,Great way to see the skyline and highlights of Singapore!,5,,"Upon arriving in Singapore, it was too early to check in the hotel. It also was simple enough with the sightseeing after a 16 hour flight from New York so we visited the Flyer.. While it was not cheap the views were fantastic. There is also an interactive TV explaining the city skyline and giving you a basic history of Singapore.The cars had benches holding 28 passengers and had fans to move the air around. Perfect overview before doing serious touring. Great way to get your bearings of the City.",,,
,,Sherin Nafie,3,,"The view from up high was lovely, but one can still enjoy it from any bar restaurant on a high floor in a sky scraper, for eg. level 33 bar & restaurant or Marina Bay Sands hotel bars in levels 55 & 57. I found the informational videos about Singapore places to visit on the Singapore flyer quite interesting though.",,,
,,Great views,4,,"Just what you would expect. Views are good, waiting time at 8.30pm on a Sunday night was minimal and fuss seemed to be less than London eye even though it is 30 metres higher.
Been in one wheel been on a them all I felt. The kids can never get enough",,,
,,Great Views.,4,,"No surprises here - a great way to see Singapore and take photos. We didn鈥檛 have to wait at all, straight on and straight off. It took about 30 - 35 minutes.",,,
,,Astounding views,5,,"We had a fantastic time on the flyer.
No queues on the day we visited. Time approx 3.30pm I鈥檓 the afternoon.

The cost was reasonable for 30
Minutes of viewing. An auto tour iPad was in the cabin and informed you of the landmarks etc throughout the journey.

The cabin can hold up to 28 people but we were lucky and only had 4 in total on the day making it easy to move around and take photos .

I would recommend to everyone",,,
,,Aesthetic,5,,Really enjoy the aesthetics of the Singapore Flyer along with the other landmarks. It is a good place to chill and also take photos.,,,
,,Very disappointed because of continuous jabber from loudspeakers inside the cabin,1,,"Very disappointed because of continuous jabber from loudspeakers inside the cabin. It's just nonsense - I came with my girlfriend to have a pleasure... and ALL THE TIME unpleasant, annoying, troublesome voice of a woman sounded from loudspeakers. Very loud voice. Stupid jokes and intonations. I'm not a dull schoolboy, I did not agree with that brainwashing.",,,
,,Great Views of Singapore,5,,Very exciting experience to have photographic views of singapore. Try to get there as early as possible in the morning or around sunset to capture great views. The interactive tablets are very much informative. A must on the to do list when in Singapore for the first time.,,,
,,Amazing engineering design,5,,"An interesting and rewarding experience. You should go into the sunset as the most beautiful.
You can go there by MRT, get off at Promenade station, walk about 500m to arrive. On the way you will see a cabin identical to the cabins on the Flyer on the ground decorated as a banquet room
I bought ticket online is cheaper: Adult 36$ SG. Child 26$ SG",,,
,,Cool Attraction,5,,"The Singapore Flyer is a fantastic way to see Singapore from the sky, each go lasts around half an hour so you have plenty of time to enjoy the view.",,,
,,Amazing Experience,5,,"Make sure you do this activity in the evening. The closest MRT station being Promenade. At 165 metres, its an amazing experience",,,
,,good view over city hall,3,,"Singapore flyer lets you view the top of city hall where you can have a majestic view of the whole area. This ferris wheel concept is very modern and family friendly, however the pricing is abit high. So i would recommend to buy the tickets when its on sale or discounted.",,,
,,Unique City Views,5,,Beautiful Views of Fantastic Singapore City . No waiting time even you can have a hole cabin to your family or company,,,
,,Magnificent view of Singapore,5,,"Singapore Flyer - a must do activity & Experience Singapore in a memorable way. Enjoy a magnificent view of Singapore; Skyscrapers, Skyline, Business District, Hotels, etc. A calm & enjoyable ride 馃馃幎馃帀馃馃帄馃嚫馃嚞",,,
,,Not To That Of Expectation,3,,"Flyer is average according to me. Very slow and not so thrilling. In total 30mins , we all feel bored withing 15mins. If you want to say that you travelled in Flyer,just go.",,,
,,There are better places to get a view of the city,2,,"If you have a goal to be on each flyer in each capital city, then this is a good reason to step on.
If you like to have a view of Singapore, I know better places . It is a highlight of the city, but I would not dare for it.",,,
,,Good one but over priced,4,,"Good experience but considering the short duration it's over priced , should go with children , but if you are an adult trust be you have the option of of watching the same view from many Singapore buildings
Good part is you never feel height sickess as it moves very slow",,,
,,Singapore flyer,4,,"Would recommend as it鈥檚 a cool way to view Singapore from above. It was a cloudy rainy day when we went on, I imagine the view would be better on a brighter day.",,,
,,Private Champagne Flight was a fabulous choice for our group,5,,"Having been on the Flyer in March 2016, suggested to our group that we should include it as part of a friend's birthday celebrations.

We booked the Premium Champagne Private Capsule/Mo毛t & Chandon Champagne Flight for our party of seven and it was a great choice from the 鈥榤eet and greet鈥?to being shown into the cabin. We were taken to a VIP reception area to book in and then to a lounge before boarding. There is one glass of Moet and some very tasty chocolates included which were enough for the 30-min 鈥榝light鈥?

Upon leaving we headed back to the lounge (which we realised was open to the public) for more drinks (at our own cost) and out onto the balcony with a fabulous view towards the Sky Gardens at sunset.

A very good option for a group of friends and, even if you do not book the Moet flight, check out the public lounge for sunset drinks with a fabulous view.",,,
,,Fabulous way to see Singapore,5,,"We went @ night the lazer show @ Marina Bay sands Hotel was on so we had the added bonus of seeing the light show from above, plenty of room in the pods able to walk around & take in the views. Worth a visit.",,,
,,Just woow,5,,Wow. One of the finest Water Fountain shows in the World. My favorite one at least I can say. Would love to come back here again.,,,
,,Great 360 degree views,5,,Really get a fantastic 360 degree view of the whole of Singapore including F1 race track etc. A must in my book.,,,
,,Great sights from great heights,5,,"Situated at one corner of Marina Bay, the Singapore Flyer takes you on a wonderful 30 journey over the most impressive Skyline of this beautiful city. The cabins are air conditioned with 360 screens inside explaining what you're seeing outside. The views are amazing and on clear days you can see not only s Singapore, but Indonesia and into Malaysia as well. Definitely worth going on",,,
,,Singapore from a Birds Eye,4,,This is a nice ride in an enclosed cabin. No fear of any dizziness or nausea. Ride is absolutely safe.,,,
,,Nice Views,4,,"We went early in morning just after opening and there was no line or wait. The tickets are a bit high for a 30 min loop around but we did get some taken off with AAA card.
It was so empty we had a car by ourselves and the screens were really cool at giving interesting information of the sites.",,,
,,See the sights of Singapore from up high,4,,"Took a day ride. No queues surprisingly and we walked straight on. Comparable in price to the London Eye, but taller. Look out across the bay to the cruise terminal and all the moored ships. Look down onto the F1 track. Some great scenery. Little disappointing that it closes so early (10pm), but I suppose if the demand is not there.",,,
,,Singapore flyer,4,,"Amazing Ariel view of whole Singapore ....very comfortable ...it takes approximately 45 mins to complete one round. If you are with a big group of 18-20 person , you can book one trip. Great experience",,,
,,Good for tourists,3,,"If you want to see the Singapore cityscape, this is the place to be. Just know that besides the Ferris wheel, there鈥檚 really nothing else to do there. Another great place to see the cityscape would be marina bay sands. But that鈥檚 way more pricey.",,,
,,Good ... but not the Best !!!,3,,"a good experience, but too slow. One circle takes 30 minutes to complete. Would prefer MBS Skypark to have better look of the city.",,,
,,Simply amazing,5,,Flyer is almost amazing while viewing it on all 4 sides from the flyer.one round takes abt half hr.Must visit place while visiting singapore.,,,
,,New experience in the sky. Correct way to view Singapore thru an eagle eye,5,,Wholesome experience. Enjoyed thoroughly. One can njoy if the group is of 8-10persons. What a beautiful view of Singapore. Beautiful and elegant. If anyone has time they must also enjoy the dinner in the flyer. Duration of ride is approx 30minutes. It is just above the formula 1 night race track.,,,
,,Fun,5,,The ride was really fun. Scenery was magnificent. 10/10 reccomend. Rmb to book tickets in advance to avoid long queues.,,,
,,Great views,5,,Offered great views of the city and moved slowly to give you time to enjoy the ride. You also had to board and alight while it was moving.,,,
,,My favorite photograph subject,5,,"This is my favorite structure to take photographs. It鈥檚 pretty grand, right? Best time to see it is almost sunset.",,,
,,The Champagne Flight is COMPLETELY worth it!!,5,,"We knew when we went to Singapore that we wanted to go on the Singapore Flyer, and it did not disappoint!

In an effort to book ahead of time and avoid any possible lines, we booked the Champagne Flight. My wife and I were able to check in early and wait for our flight time in the air-conditioned lounge. We were then escorted to the car, a private car with Champagne and chocolate! It was just the two of us, watching the sunset during our entire 30-minute ride. The views are incredible.

We aren鈥檛 sure that it would have always been just the two of us, had others booked the Champagne Flight at the same time, but we were lucky enough to have a private ride. We would highly recommend this to any couples wishing to enjoy the Singapore Flyer!",,,
,,Oh Yeah! Great Scenery.,4,,"The Singapore Flyer is an observation wheel with cabs that hold 20+ occupants. It is a fantastic way to enjoy a bird's eye view of this beautiful city and snap some great photos. Singapore is a city of lights, so the night time ride would probably be great. We used the subway to get to the Flyer from our hotel and the directional signs were easy to follow. The walk from the subway station to the Flyer is a bit long for individuals with mobility issues. This is especially true if the weather is hot and humid, but you can see the wheel immediately upon exiting the subway station. When we arrived at the Flyer boarding station, we walked a moderate distance to the jetway but were told we had to go back downstairs to purchase the tickets and return to the jetway. Ugh! No food or beverages are allowed on the Flyer, which is why the cabs are so clean, so you must discard any snacks or sodas prior to entering the jetway. Since it wasn't busy and we were quite hot, we took our time and we were the only occupants in the cab. It was eerily quiet and a smooth step onto the air conditioned cab. The ride costs about S$30 and lasts about 30 minutes. It's not exciting or thrilling but it provides an excellent view of the city from way up there. I would recommend this attraction for families with children as well as the elderly. But there are many other exciting things to do in Singapore for young and fit individuals.",,,
,,Great views of beautiful Singapore!,4,,"The Singapore Flyer is great for a birds eye view of Singapore. Getting our tickets proved to be the tricky part. We found the signage to be lacking and when we finally got to the ticket booth it was closed and we were re directed to another booth. With a bum knee and tired feet, this was not welcoming.",,,
,,Good,4,,It looks good when you enter the capsules.A capsule has a capacity of around 20-25 people so who comes with you is a fortune. It is very tall but not like London eye which has a great view.,,,
,,Enjoyed this,4,,"Came here on a Thursday night and got my money's worth. Clean, well-managed and well-executed, the Flyer affords visitors with a panoramic view of the entire city-state right by the Marina Bay complex. On par with similar wheels in London and Seattle, you're up there for approximately 20 minutes in a comfortable pod with a 360 view.

Nice facilities and a safe area make this a good destinations for families and solo travelers alike. There are always cabs there too, so no worry about having to schlep to the MRT. A nice way to wind down or kick off an evening by Marina Bay.",,,
,,We liked it,5,,"We had a pod with two other couples. We enjoyed the changing views as the pod slowly revolved. It was cool to see how many ships were in the harbor, the roads & tourist boats etc.
For us, the price was very reasonable (theres nothing like this where we are from).",,,
,,Great! Not Crowded. Air cond respite in mid-day,5,,"Like the other Singapore attractions, first-rate and not a touristy rip-off like it might be in so many other cities. Not crowded at all, mid-day on Sunday. Overlooks the Singapore F1 race track, cool! Recommended!",,,
,,What a view,5,,"If you wish to get a great view of the business district and the Marina Bay, you must have a go on the Flyer. Would suggest early morning if you don't like to queue but absolute best views at dusk, as the lights come on around Singapore",,,
,,Great trip,5,,"Easy to visit attraction, well organised and superb panoramic views of a great City. Would love to do of an evening next time",,,
,,Nice experience,5,,"Had a nice experience on the flyer.View from the flyer is quite stunning,can almost see all of the SIngapore.Try to visit in the evening just before the sunset so that you can enjoy both the day and night view.",,,
,,afraid of heights,5,,But my family loved the visit. The flyer has a laser light show to coordinate with the Marina Bay show so it was nice,,,
,,Singapore major attractions,5,,"Amazing place, no queue required. Very fast and efficient. Large capsule size. Beautiful view from top. You can even see Malaysia and part of Indonesia.

Good thing they don鈥檛 full the capsule unlike London eye where the capsules were crowded.

Must visit attraction. Very close to Garden by the bays.",,,
,,A must do for tourists,4,,"We went on a week day, so it was less crowded; still there were many tourists.

There are 28 cabins and only a maximum of 28 people are accommodated in each. The cabin is spacious, and has a running commentary of the places seen from above. Also there are 4 interactive tv screens showing the landmarks.

The flyer moved very slowly, 30 minutes per cycle; so slowly one does not even feel the movement.

Because the crowd was not large, the attendants allowed less people into each cabin; hence there was plenty of room for all of us, about 11 adults and 2 kids.

This was our first time, and we will definitely recommend visitors to this attraction. The ticket price was not prohibitive.",,,
