id,uid,title,score,date,content
,,Lovey place to walk within the city,4.0,,A lovely place to walk and see beautiful plants and trees. Plenty of history about. The lighthouse area is interesting to see and imagine what Singapore was before all the development. The bunker is interesting if you like to know more about the war.
,,Nice Walk About,4.0,,"Also known as the ""Forbidden Hill"" this a very nice to walk about although one needs to be prepared for some climbs. The set up is nice, the trees and flowers are beautiful and one can also see some of the remains of this military strong hold."
,,Worth a visit,5.0,,"Fort Canning was the first place we visited in Singapore when we arrived, it was great fun. There was ALOT of walking and climbing hills involved, there was lots of different places you could visit including a small arts exhibition and the fort canning museum which is currently open until some time in September. Check it out if you have a spare couple of hours!!!"
,,Jubilee Park Playground,4.0,,"There's a great new playground at Fort Canning known as the Jubilee Park Playground, located right near the mrt exit. Very popular with younger children in the mornings and easily combined with a visit to Fort Canning proper. My kids come here a few times a week and seem to really enjoy it."
,,Great place,5.0,,"Great place to visit to beat the heat. Heaps to see from raffles house location,flag staff ,the old fort,raffles spice garden. Great walking trails lots of old trees and heaps of history. Wear comfy shoes. The old grave markers are worth a look."
,,The Bicentennial Experience - direction,5.0,,"This is fairly easy. Take a train directly to Fort Canning station. Once there, exit B - take either side turn - is really right behind the station. U will c a children playground with long slide. There is an escalator, yes n more escalators. Is actually outdoor n escalators right in the park, amazing. There is even lift at certain section. Really friendly for the elderly and those who needs help. This experience is FOC, however u will need to do an online booking in order to attend. I love the aircon, wonderful. We enjoy the Bicentennial experience, especially the rain effect, my kids love it."
,,A walk in the park,4.0,,"Great place to go for a walk or run through for abit of fitness and getting to do abit of sight seeing of some old WW2 history along the way..park also has some calastetics equipment for gym use like chin up bars,dip bars and sit up bars.
Also a park for the kids to play on for abit of family time"
,,Escalator rides to the top from Fort Canning mrt,5.0,,"Fort Canning park is situated on a little hill in the middle of the town area. With the new renovation recently completed, one can visit this park without walking much steps. An ideal way to begin the visit is from Fort Canning mrt. There is an innovative playground after the exit from the mrt followed by escalators bringing one to the top without climbing the steps. At the top, there are many shaded paths to take to explore the park. The various views at the top are good too. Attractions include the spice garden and an exhibit showing the archaeological dig and its discoveries. There are many exit points leading to different parts of town. This park is also great for a jog, brisk walk or to connect with nature. Strongly recommended."
,,Such a gorgeous park accessible anytime of the day!,5.0,,"I am completely in love with this place. I particularly stayed in a hotel across because of great reviews about the park. I had to see and experience it for myself and all good words were dead on! The entire park, so well maintained and well lit regardless of the time. You'd also feel safe even running early in the morning. I had the entire place to myself running past 4 am... Even better, head on out to the footbridge and it connects you to Clarke Quay area. Head on out farther (following the underpasses) should lead you to where the Merlion is (obviously another awesome place to run!). There's no other place I'd stay in the next time I visit Singapore soon."
,,Don’t miss out visiting this place again and again!!!,5.0,,"Our favourite outdoor concert, outdoor movie, park for a walk, picnic and so on....so many things that you can enjoy visiting this place. Really one of our faves in Singapore. Better check their site to make sure that you’re up to date for upcoming events"
,,A little oasis.,4.0,,"Despite having visited Singapore more than ten times in as many years, we had never explored Fort Canning Park. Like so much else on this island state, it is a marvel of meticulous planning, that they have yet again been able to cram so much into such a small space. A really inspiring blend of gardens, cultural attractions and glimpses into the history of this amazing country.
Be prepared for plenty of steps!"
,,Beautiful Park,4.0,,"This is a beautiful park on a hill overlooking the city and harbor. There is a very well marked trail with signage that tells the history of Singapore, from mythology to modern times.

Visit The Battle Box, but make sure you leave time for the park and other points of interest that include The Flagstaff, The Lighthouse, and the buildings that made up the old fort.

The archeological site is still a work in progress."
,,Excellent,5.0,,"Fort Canning Park is excellent. Well signposted, with information about the history of the area and well maintained, this is a great place to spend an hour or more. The trees and greenery are a welcome place of serenity in this busy city. And there are some great views too. The only thing I’d note is there are some steep stairs and gradients, as you’d expect for something on a hill - all manageable and with good paths. Highly recommended."
,,Historical site of Singapore,4.0,,"This is a historical site of Singapore. It has Inland lighthous, The Fort, the battlebox. There is also a spice garden near the park. The hilltop offers beautiful views of the city and is a peaceful to just to take a stroll."
,,Historical Site,4.0,,"Fort Canning Park, an iconic hilltop landmark has witnessed many of Singapore’s historical milestones. The Hill once had Palaces of 14th century Kings and served as Headquarters of the Far East Command Centre and British Army Barracks. The decision to surrender Singapore to the Japanese on 15 February 1942 was also made on thi Hill, at the Underground Command Centre, commonly known as Battle Box. One can visit the Box and also take a 1.5 hrs guided Tour to relive history.

Now Fort Canning Park is a venue for various celebrations like Concerts, Theatrical performances. Its ancient artefacts are a must-see, and its lush greenery and expansive lawns offer a variety of arts, heritage and nature experiences. Whether one is attracted by the Park’s ancient artefacts and rich heritage or simply its tranquility, this Hilltop Park offers something for the whole family.

To bring to life the rich history of the Hill, developments to Fort Canning Park and its surroundings are being carried out.

The Battlebox was a British Army Command Centre located 9 metres underground, in the 1930s. It was part of the headquarters of the army that defended Singapore during World War II. It was also the site where Lieutenant-General Arthur Percival made the fateful decision to surrender Singapore to the Japanese on 15 February 1942.

The Park is must see place while visiting Singapore. Easy to reach by MRT from any part of the City. Get down at Dhoby Ghaut & look for Exit- B to come up to road level. Walk across to the Bus bay for Padestrian Crossing. Then take your left & walk straight. It leads to the Park.

Appended are few photographs shot at venue."
,,Nice park with historical buildings and fort remains,4.0,,"This park is worth a visit, but for the park it self the views, and as well the remains of the fort, but the old one and the battle box."
,,Want to see an inland lighthouse? Here's your chance!,4.0,,"Fort Canning Park, a hilltop landmark, once sited the palaces of 14th century Kings and served as the Headquarters of the Far East Command Centre and British Army Barracks. The decision to surrender Singapore to the Japanese on 15 February 1942 was also made on the hill, in the Underground Far East Command Centre, commonly known as Battle Box.

The opportunity to get out of the blazing sun and walk beneath the cooling shade of beautiful old trees is too good to resist, and Fort Canning Park is a great way to do it. With a wealth of history to explore, and views down over Singapore, it's a good place to while away some time.

the Park is easy to get to, with a choice of three MRT stations: Fort Canning (Downtown line, Exit B), Clarke Quay (North East line, Exit E) or Dhoby Ghaut (North South and North East lines, Exit B)."
,,Great Tour of WW2 Underground Bunkers,4.0,,We absolutely recommend a tour in Fort Canning hill in the heart of the city covering the historic battles of Singapore on a tour of a former World War II underground command centre of 26 rooms. Fascinating stuff!
,,Beautiful Park in the Middle of Singapore,4.0,,"We had a nice walk through this park on a Sunday morning. Very quiet and would be a great place for a nice run. Lots of trees, grass and a couple of nice spots for picture taking."
,,A nice walk with photo spots,5.0,,來這裏就是為了拍這張照片 地點很好走在YMCA附近 新加坡很少不同地點都可以走路來到達 這張照片是用自拍乾放在地上 用iPhone拍出來的 角度要比較平少許 這樣就可以看到洞口多一點 More photos @ ig wtifwtif
,,Worth a visit,4.0,,We did a tour of the underground bunkers where the British surrendered to the Japanese in WW2. Definitely worth a visit it was a very informative tour.
,,Good to spend family time,4.0,,"Its got history, its got garden, its got large acreage to walk about, its nice to be within nature with your family or just alone. The building is well maintained and the lawn is nice place to host a small picnic."
,,Great park for walking or jogging.,4.0,,"Went through this park late in the morning. If you like to exercise this park has a lot of people using it for that purpose. I loved the large trees and their broad canopies provided wonderful shade from the tropical sun. There was an interesting spice garden area, archeological dig, and a small cafe for snacks and drinks."
,,Lots of steps,4.0,,"There are a lot of steps and hilly parts to enter the park which ever direction you come from, probably why the park was so quiet.

We went to the park to visit Battlebox, WW11 government bunker. only accessible by a tour.

Not much else to visit the park for. The views in places are good if the city."
,,ILight festival,4.0,,"We once again visited the Fort canning park, this time for the Ilight festival, held in Feb. It was great. My daughter played happily on the piano kept for visitors. Was a lovely evening"
,,Hidden gem,5.0,,"This park was a 5 minute walk from the YMCA One Orchard. A lovely place to walk around and just be in nature, but also with history behind it from WW2 for those with an interest. The park is free along with lots of historical facts. There was a paid entry story about the war but we did not go there. Quite hilly for those who cannot manage stairs/hills easily."
,,Very good,4.0,,"Freeto walk around but not well signposted and a lot of works going on meant some footpaths were closed.
Very nice and not too crowded.
Certain things to do are to be paid for and as I was short if time I didn't do these.
But the open areas and footpaths are great to walk round"
,,Lots of work; poor signposting,3.0,,"Given its significance in Singapore's history, I was keen to see Fort Canning. On the day I went, I was somewhat disappointed. There is a lot of heavy construction work going on on the Fort Canning MRT station side, with paths suddenly closed with no prior warning (very annoying on a steep hill in the heat!) At the top is now a reservoir that you cannot visit. Getting down the other side was as much of a challenge as getting in. Sort your signs out, FCP!!!"
,,The BattleBox Tour is a must,5.0,,"I was in Singapore in 1960, age 6, and this place was where my dad worked. It is a really peaceful park with great trees, lawns, historical military walks and the awesome presenter at the BATTLEBOX is a must."
,,Historic,4.0,,Its a steep hill so beware of the climb Best to come early to beat the heat and crowds .Very historic and beautiful gardens.
,,"Wonderful, interesting nature filled walk.",4.0,,"This is a super park, packed full of interesting trees and plants (many labelled) - you can hardly believe you are in the middle of a city. There is a circular walk around the top with plenty of interesting things to see, some great views, great bird watching, public toilets and lots of places to sit. Lots of people seem to mention how steep it is. Yes - you have to get up to the hill, but after that it's a largely flat, leisurely walk round the top. And although steep, it's a short walk, don't let it put you off. Next to the fantastic National Museum so combine the two."
,,Great park,4.0,,"We had a great early morning stroll in Fort Canning Park. It’s super steep, and we were quickly very hot and sticky. We only went because it was right next to our hotel - and I am not sure I would have travelled across the city to it. But the park is nice, and well shaded and seemed to be popular with expat joggers. There was quite a lot of building work going on when we visited which put us off slightly."
,,Rich on history,4.0,,"Walk for 2 hours in this beautiful park with a lot of history which was called before ‘Government hill’. ‘Original’ pictures are displayed with information to have an idea how fort Canning was in the early days of Singapore.
Quite some renovations ongoing in the park"
,,Must go,4.0,,"You can get more photo from here haha. But many tourist come. At Check point, you should come early ( I think) because in the afternoon maybe more people here."
,,"Beautiful, Historic Park in the middle of Singapore",4.0,,"Fort Canning Park occupies a very significant and strategic location, adjacent to the Singapore River and close to the downtown business district as well as Orchard Road.

Once the home of the ruling Malay kings, more recently, during the Second World Way, it was the british army headquarters when they made the infamous decision to surrender to the Japanese.

There are steep walks here [being a hill] but if you like gardens, it is well worth it. This was also the first site of the Singapore Botanic gardens."
,,"Nice environment, with construction sites.",4.0,,"We visited last Sat morning with kids, it was a pleasant and easy walk. Kind of hot as there is no covered way. Kids enjoyed the small swing and the 2 cannons, took many photos. Giving the prime location of the park, it is really a must visit for both locals and tourists. Remember the old days when Mr Lee still preferred a walk there, bumped into him once."
,,Nice park and gardens although the museum was closed on our trip.,4.0,,Finally got to visit Fort Canning Park this trip and can cross it off the bucket list. Worth a visit if you like parks and gardens but it is very steep and lots of stairs and uphill climbing and in the humidity it's not easy. Don't know if there is an easier way in we did it the hard way and was not disappointed.
,,Historically significant and well worth a visit.,5.0,,Fort Canning is where the Englishman Sir Stamford Raffles built his residence which was also used by other residents and governors. It became known as Government Hill until it was renamed Fort Canning in 1861 when a fort was built on the site.
,,Greennnnyyy,5.0,,"Love this hidden gem.Its very good spot for take a pic. Prepare your ootd and its free,just go here in the morning or afternoon"
,,Very nice walking trails,4.0,,Lots of construction. The park could use better access instruction from SMRT. I enjoyed a few hours wandering there and reading the historic contexts and seeing the older buildings
,,Battle Box,5.0,,"Joanna did a fantastic tour today, very informative and was fantastic to listen to. Well worth the visit Thankyou"
,,Nice walk but a bit of a building site,3.0,,Lovely shady walk on a hot day and very relaxing with certain spots affording lovely views. The afternoon I chose to visit was very quite which was lovely but it was a shame about all the building and repair work going on. It is still worth a visit and the grounds are very lush and lovely. Lots of stairs to climb but they are well maintained.
,,A park in the middle of the city,4.0,,Hot and humid Singapore! So come here in the late evening and try to catch the sunset at Raffles Terrace. Interesting view of the Singapore River as well as Marina Bay Sands! Lots of wild birds and animals too. Was hoping to see a Hornbill but saw Jungle Fowls instead. Interesting flora.
,,Good place for walking on a hot day,3.0,,"The park is cool and green but is really not suitable for people with disabilities as there are lots of stairs to climb to get from one part to another. Could not do the Battlebox as all tours were fully booked, and you can't get in without a tour which was disappointing. The herb garden was nice as was the shrine to the last Sultan, Iskander Shah, which was right next to the herb garden. The garden has good descriptions of the various tropical herbs for anyone who is interested in spices. Plenty of birds and butterflies but no other wildlife to be seen. It is worth doing if you are interested in the history of Singapore and want a bit more than the national museum can offer."
,,Hill-top quiet green space in Singapore,5.0,,"Fort Canning Park is a large public green space in the heart of Singapore yet on the afternoon of our visit we saw very few visitors virtually having the park to yourselves where ever we walked. The park is loaded with things to see, the main reason we were there was to visit the Battlebox, the underground WW2 military bunker. The park is located on the hill behind the National Museum of Singapore, there was a short climb up a series of staircases to reach the Battlebox visitors centre and the park. Later after our Battlebox tour we wandered around Fort Canning Park enjoying the many outdoor art sculptures, gardens, extensive varieties of plants, memorial walls, old buildings and other structures before exiting near the old Pollice Station at Clarke Quay."
,,Historic Park,4.0,,"Nice park with some decent views of the city. Take the circuitous walk around the resevior to see the old lighthouse, flag pole, gardens, and remnants of the fort. We didn't do the Battlebox Tour as it was 20 dollars a person and little kids aren't permitted. Maybe some other time. The park itself is free."
,,I got a sense of some of Singapore's past,4.0,,"An interesting park with plenty of shade and informative signs. There was a lot of renovation going on when we were there, but still lots to see. It was interesting to see the old gravestones and see how many people died at a very young age in the 1800s. We'll visit another time to do the tour of the Bunker, but it looked good."
,,Visit with friends,3.0,,"We made some good memories that's true but it is not very stroller friendly. We had a nice picnic and took nice pictures but since our toddlers could not climb so many stairs up the fort, we left early and went to some other place."
,,Jewel in the City's Crown,5.0,,"Singapore has many charming and idilic locations but Fort Canning Park remains my favourite place in the City State. We walked thought it many times in the 1980’s when it was pretty much derelict, evocative and slightly eerie but today it provides a beautiful, elevated, shady oasis of tranquility overlooking and overlooked by the frenetic City. Fort Canning Park is steeped in history from the ancient and pre-colonial eras to the fall of Empires, it is or has been the abode of Kings, a botanic garden, a cemetery, a fortress, place of government, a park and to visit it is an education. We have always stayed on Orchard Road and walk through Fort Canning Park when we visit China Town, the CBD, the Bay Area, the Colonial District, sometimes we go there just to enjoy the Park it’s self. The Park is quite small but so full of interest that it can fill at least half, possible a whole day. Some of the things to do; visit the cemetery with it’s Gothic Gates, cupolas and memorials, review the memorial stones and appreciate how very short were the lives of the early settlers and traders. View the colonial buildings that grace the park, one is now the Fort Canning Hotel the other the Fort Canning Centre, both are architecturally significant. Walk the Spice Garden, FCP was part of the original botanic garden and many experimental plants were grown here, a small botanic trail remains and the plaques are most informative. See the archeological excavations in progress, they are open to public view, well described and have many interesting artefacts to illustrate the history of this once forbidden hill. Visit the Old Lighthouse and learn about its technical evolution and the courage of those who risked their lives to care for it during the Japanese occupation. Take a look at the Time Ball that marked 13:00 each day and the historic Flag Staff, both are close to the site of Raffle’s bungalow and well described by boards at their locations. Visit the (alleged but unlikely) tomb of Iskander Shah and read the myth of his violent accession to the throne of ancient Singapore (Tamasek). Walk the terraces named after the influential men who made and managed Singapore, Raffles, Farquhar, Bond, Lewin, Dobbie and others. Visit the military installations and buildings, the great gates of the fort itself (try pushing them closed!), escape through the Sally Port, pose for photos on the old cannons and if you get the opportunity book on a guided tour of the hill itself and of the Battle Box, both are thoroughly worth while if you have any interest in history and the lives of those who made Singapore’s history. Apart from the history, the flora and fauna are surprisingly rich and varied for a small City centre park, Red Junglefowl scratch around, sunbirds can be heard and occasionally glimpsed and apparently the park is popular with local ornithologists. Walk the Tree Route, many of the trees are quite magnificent and there are numerous photo opportunities which, with a little framing will give the appearance of being taken in deep jungle not a city centre. If you are keen to work out, join those who run up and down the steps at Canning Rise, jog the paths that weave through park or visit the fitness station near Badang Terrace. If you want a break from exploring the park, the National Museum of Singapore is accessible directly from the hill and apart from the exhibitions there is also a very nice restaurant that serves tea from the Clipper Tea Company and delicious cakes. The Park is delightful after dark, I sometimes take a stroll there to enjoy the tranquility and let my imagination wonder to those ancient Malay Kings whose graves lie still undiscovered in this very special place."
,,A compact historical landmark,4.0,,"Fort Canning is a breath of fresh air in the middle of the bustle and dazzle of Singapore. It is set up on a foothill just enough for tourist and local to go hiking and jogging in a beautifully landscaped trail . Every turn is marked with historical notes on a signpost which cleverly enough overlooks the beautiful Clarke Quay . We enjoyed nature, history , culture rolled into one . A must try in Singapore . No entrance fees ."
,,Great for History Buffs,5.0,,My husband is quite the avid War Buff and he & our daughter found this place fascinating! They operate Tours pretty much daily - The Battlebox Tour (hour and 15mins) was well worth the visit.
,,Well kept,5.0,,Very well kept gardens and grounds. A nice peaceful spot in the heart of the city. Good to have a wander through.
,,"Nice park, historic center of Singapore",4.0,,"Nice park on a small hill. Close to Orchard Road. Nice destination if you want some green spaces. Lots of history here, including old British military HQ buried inside the hill. Takes about 45 min to walk around and see the main sights."
,,An oasis in the middle of the the city,5.0,,"I loved visiting this park, and grabbed any opportunity I could get to go through this park by cutting through it to go to the other side! Its close to Clark Quay on one side and Orchard Road near Dhoby Ghaut on another side.

The first time I spent a couple of hours reading all the well-laid out signages (Singapore loves signages!) and the next few times I would just wander around it, or read a book. Its a quiet and peaceful place right in the middle of the city, and a haven for nature lovers. Just be sure to carry your umbrella and some insect repellent."
,,"The ""must"" photo shooting spot",4.0,,"Stunning spot for photo shooting. There are many ppl skip the park and just go photo shooting at this spot. Dhauby Ghaut MRT, exit B, then cross the street the the left following the walk way you will see this spot."
,,"Historic, Serene and Peaceful",5.0,,"This is a must see whilst in Singapore. To view the tunnels is by tour guide only and when inside, you can fully appreciate why. The grounds are pristine."
,,Fort Canning A Gem of History & Nature,5.0,,The walking tour to fort canning was a pleasant one and very informative with the history of the beginning of Singapore. My guide Pavla was showing us a walk through time the resting place of the last king of Singapore. 👍
,,Wonderful park,5.0,,"Singapore has a number of fine parks and this is definitely one of them. Even though you are in the middle of a very busy city, you can get away from the traffic and crowds of people and get some peace and quiet in beautiful surroundings. Well worth a visit."
,,Beautiful Garden with a view of the city,4.0,,"Fort Canning Park is a little bit of a haven in Singapore - as it is away from the hustle and bustle of the city. In the colonial days of British rule, it served as the army barracks and its headquarters.

It is worth climbing the stairs to the top of the hill to get a good view of the city.

The area has the Fort Canning Arts Centre - an impressive looking building; the Register of Marriages; and the artillery. The area hosts various concerts.

The garden has a spice garden."
,,Really worth a stroll around this old fort,5.0,,"If you like walking, and aren't too worried about slopes and steps, then a walk around this historic park you'll enjoy. There is plenty of history around the park, as well as the WW2 Battlebox."
,,Oasis in city,4.0,,"Fort Canning Park is a very pleasant park in the middle of Singapore. A hill itself is a park, and you can take a walk without being disturbed by car. It is not hard to climb, and I am sure it is worth."
,,Park with a History - Fort Canning Park Singapore,4.0,,"Quite unlike the nature reserve protected for its flora and fauna or an area of important geological or special interests with its unique ecosystems, parks are “designed” with humans in mind for various purposes largely recreational – jogging, walking and cycling, or social gatherings like a picnics or a perhaps a date.

But Fort Canning Park (Singapore) offers more than leisure and recreation. It is a park rich in history. Sitting at the hilltop, it has witnessed many of the country’s historical milestones. Apparently, it used to site palaces before the founding of modern Singapore. It was made Headquarters of the Far East Command Centre and British Army Barracks during the colonial days. The decision to surrender to the Japanese in 1942 was also made on the hill.

I have been to Fort Canning Park on several occasions but for events – outdoor concerts, movie screening under the stars, hotel dining, etc. This visit I recently made was a different one where I took time walking through and around the park.

There are a number of walking trails rich in history presented by replicas of a past era such as flagstaff, lighthouse and 9-pound cannon, ruins of the fort left along with preserved underground tunnels.

This park is right in the centre of the city but yet away from the hustle and bustle of city life. It is somewhat strange to see in the backdrop around the park with skyscrapers on one side, the riverside / quays on another, and yet a serene view of a church just down the hill. And for the romantic, the park is also a favourite photo-shoot venue for weddings as it is neighbour to the ROM (Registry of Marriages).

It is also a home to the arts, playing hosts to concerts, theatre productions and festivals. The lush greenery and expansive lawns offer a variety of arts, heritage and nature experiences. The Fort Canning Arts Centre was undergoing some upgrading when I visited and as I understand, it is part of the enhancements to Fort Canning Park and its surroundings which will be progressively completed from June 2019.

If you are a history puff and enjoy a leisurely walk in a park under the cool umbrellas of trees (my favourite has to be the Banyan Trees), come visit the park. Or if you want an early morning jog around the greenery on a hilltop, this is a good place to sweat it out. Should you plan to visit during organised events, make time before / after the activity to see what this park has to offer.

From some National Parks Singapore materials, development plans are underway ""where the heritage landscapes of Fort Canning Hill and its surroundings will be restored and weaved seamlessly into Fort Canning Park with the creation of three gardens, namely the Royal Garden, the First Botanic Garden, and Jubilee Park"".

Make a date and visit the Park in the latter half of 2019."
,,Better park than historic site,3.0,,"Fort Canning had strategic and historic importance to Singapore. Oh the hilltop overlooking the river, it served as the gateway for decades. Named for the first Viceroy after the British Crown took possession of the lands managed by the East India Tea Company following the loss in the American Revolution.
The grounds are beautiful and the views very cool, but other than the old gate, the gates that served as entry to the old cemetery, and the bunker (which can be toured), there is not much ""fort"" to it anymore. Two canon are perched at high points, but those are not original and reset in the 1950s.
Great history - better as a park. As a history buff I enjoyed it, but do not expect to see an old battlement."
,,Good walk to see the city,4.0,,Take the stairs to to the dirt to get a good view of the city. It can be hot but on the day we want it had just rained so it’s quite nice taking around. The trees are massive and provide good coverage. Very interesting trees and branches and tree stubs. It’s close to the fort canning hotel and there’s a museum as well. You can see two cannons on either side of the park. There’s a guided tour to the old battleground hide out but we didn’t go in.
,,Beautiful Garden Amidst The Beautiful City,4.0,,"It's a beautiful garden and a nice place to have a walk or jog. You'll feel amazing walking here.

You get free entry in the garden. If you're in Singapore, I think it's a place to visit.

The place is well connected by a metro station near to it."
,,A stunning garden in the heart of town,5.0,,"I was recommended this place from a Singaporean friend. This garden is a gorgeous place to stroll through, whilst taking in the historic surrounds. Located within walking distance from multiple MRT stations, the signage makes it very easy to navigate. I walked in from the north side, and made my way towards Circular Quay, however it is very easy to lose yourself for several hours in this peaceful environment. It is quite hilly, so I wouldn't recommended for those with mobility restrictions."
,,Greenery !!!,4.0,,"Walked along Coleman Street and up the Canning Rise , involves climbing several steps. Large area, full of greenery. Different types of plants all around. Didn't get time to visit the bunker."
,,Historical site,4.0,,"A historical site that provides a glimpse of Singapore leading up to WW2. It is the site where the British General Percival decided to surrender to Japanese forces. There is a paid guided tour of the underground bunkers. Check the tour time if interested before going. History aside, it is a peaceful green space to stroll and take a break from the city bustle."
,,Brings to life events surrounding defense and surrender of Singapore to the Japanese,5.0,,"Well worth the time. Go into the bunker and learn about a piece of history that many don’t appreciate or know much about. Learn how 50,000 Japanese with superior equipment and fighting experience overwhelmed a poorly equipped British Empire force of 120,000. See the confined spaces the allied forces lived in and where the decision was made to surrender. Through a mix of docent, historical recreations of some the rooms and movies they take you through the story and leave you with a very memorable experience. Don’t miss this."
,,Beautiful garden hidden in the midst of a great city,4.0,,"We spent a morning walking around the gardens of Fort Canning- lovely shady areas with pathways and seating areas. We were going to do the Battlebox Tour, but all the morning tours were full- would suggest booking if you want to do a tour at a specific time. You can easily spend hours walking around the grounds of the estate and forget the city on the outside of the walls."
,,An Oasis,5.0,,"What an incredible place. The fort and bunker are set on a famous hill, only 5 minute walk from the nearest MRT.

Well worth paying around $18 for the bunker tour that takes about 90 minutes. Very informative and the guide was very happy to answer any questions. He really bought to live what happened there during WW2.

The parks around the fort are some of the best in Singapore.

Allow 2 to 3 hours to really enjoy and respect this monument to all those is WW2."
,,Interesting piece of history,4.0,,"Recommend timing your visit to also take in the ""Battle Box"" and a tour through the tunnels to get the most out of this site."
,,Pretty average,4.0,,"Not the most interesting place, but nice to kill time here if you’re in singapore for a few extra days with nothing to do. Wear some comfortable shoes and bring water on a hot day, as there are many steps!"
,,Better on a cloudy day,4.0,,We picked the wrong entrance to get to Battlebox thinking Fort Canning MRT would be the obvious stop. We had to climb lots of steps and it was muggy. Some steps are also closed for works. We found are way round but imagine the upward climb would be hell on a hot day. An interesting park with an important place in history.
,,Beautiful established gardens heart of Singapore,4.0,,"We loved immersing ourselves in the luxury of walking, smelling and enjoying the beauty of Fort Canning Park. A must visit is the Old British Army headquarters now an upmarket Hotel. Go to historic Fort Canning British military barracks ( under renovation) and must do Battle Box tour.
A lovely space with quietness in the heart of Singapore.
Would be 5 star however garden renovations underway."
,,Crazy Rich Heritage.,3.0,,This is a park but it is also a treasure trove of Singapore past and history dates back to 1600s. If you like history and imagininv yourself back in the olden days. This is THE place. Downside...it is undergoing a revamp. Upside...there are still many trees around....not invaded by buildings yet.
,,Battle box was visited by my husband and me in fort canning park,5.0,,"It is place which tells you about the surrender of British army.We were amazed the way the guide explained to us ,her knowledge about the subject was great not a minute during our tour into battle box we felt bored. Well conducted and knowledgeable.Very well kept. Kudos to the people who are maintaining the place.A must visit for locals and tourists."
,,Architecture meets nature,5.0,,"If you are into architecture and Plants or if you are an aspiring photographer this is the place for you, just be ready for a LONG WALK,
wear your most comfortable sneakers..
but it will all be worth it, Trust the Photos that I have uploaded :)"
,,Fort Canning Park Singapore,4.0,,"This is a nice place to go for a walk or run.. Very shady will lots of trees... Also there is a spice gardens where you can see plants of pepper, coriander etc..."
